"SGU_kartiert"	"SGUcode"	"TRI_hr_ws31"	"vectorruggedness_hr_ws57"	"preds"
"1"	"TG"	"1"	4.97836567509559	0.0155128591331432	"TG"
"2"	"AD"	"1"	18.0713455715487	0.0226240621970782	"AD"
"3"	"AD"	"1"	12.8012751379321	0.0173899568718531	"AD"
"4"	"GLD"	"1"	8.00014115918067	0.0083684429365819	"GLD"
"5"	"TG"	"1"	4.97836567509559	0.0155128591331432	"TG"
"6"	"TG"	"1"	1.36967698220284	0.00267273606565233	"TG"
"7"	"AD"	"1"	2.91165572597134	0.000385927126223207	"AD"
"8"	"AD"	"1"	15.7058430141018	0.0300141231366871	"AD"
"9"	"AD"	"1"	24.130438850772	0.0421181271154843	"AD"
"10"	"AD"	"1"	16.3023437223127	0.0240102937618749	"AD"
"11"	"AD"	"1"	17.9707507125793	0.0226937718712018	"AD"
"12"	"SD"	"2"	21.2471806310838	0.0895834043392072	"SD"
"13"	"SD"	"2"	24.370959712613	0.0695514222149286	"SD"
"14"	"CBD"	"2"	24.1837045915665	0.0433578591695822	"SD"
"15"	"SD"	"2"	22.4442469996791	0.0338709252272089	"SD"
"16"	"TG"	"2"	27.5097427368164	0.00835675228790844	"TG"
"17"	"CBD"	"2"	16.2920060157776	0.0293261808797194	"CBD"
"18"	"SD"	"2"	23.8145959915653	0.0485598894393148	"SD"
"19"	"TG"	"2"	22.7376542245188	0.0660800418009251	"TG"
"20"	"SD"	"2"	23.8402873623756	0.036800890061168	"SD"
"21"	"CBD"	"2"	15.6940408522083	0.0564563427776831	"CBD"
"22"	"CBD"	"2"	22.7174138407553	0.0276885415639353	"CBD"
"23"	"SD"	"2"	26.4541787793559	0.0397358275228146	"SD"
"24"	"SD"	"2"	23.9501157576038	0.0665966167049112	"SD"
"25"	"SD"	"2"	25.4259855824132	0.0646272666738299	"SD"
"26"	"CD"	"3"	2.84786865019029	0.0196113126692691	"CD"
"27"	"CD"	"3"	4.55533063796259	0.00829814217529556	"CD"
"28"	"ISR"	"3"	18.773148844319	0.140294702848233	"ISR"
"29"	"CD"	"3"	1.70434158079086	0.00266468016896348	"CD"
"30"	"SD"	"3"	4.93332095299998	0.00245594835391272	"SD"
"31"	"TG"	"4"	21.99373309843	0.0372813568264715	"TG"
"32"	"SD"	"4"	21.7935200660459	0.0284110550385317	"SD"
"33"	"SD"	"4"	21.7999864701302	0.0285661465587609	"SD"
"34"	"SD"	"4"	21.1067943726816	0.142688531110927	"SD"
"35"	"SD"	"4"	24.0513988002654	0.126417823465299	"SD"
"36"	"ISR"	"4"	21.0487209289305	0.0568484100991025	"ISR"
"37"	"TG"	"4"	18.3670672447451	0.0334371633928769	"TG"
"38"	"TG"	"4"	25.8401176698746	0.119098696975395	"TG"
"39"	"SD"	"4"	21.937184949075	0.0892527236126811	"SD"
"40"	"SD"	"4"	23.2535076141357	0.130078739631055	"SD"
"41"	"MxD"	"4"	17.0942490639225	0.0153550018441048	"MxD"
"42"	"SD"	"4"	34.2142022348219	0.0832750074262233	"SD"
"43"	"ISR"	"4"	19.779067408654	0.0364628234192661	"ISR"
"44"	"SD"	"4"	25.5832225584215	0.102466474893651	"SD"
"45"	"ISR"	"4"	23.5618096167041	0.0305771279837522	"ISR"
"46"	"TG"	"4"	13.6363493242571	0.0399814677694363	"TG"
"47"	"ISR"	"4"	24.7111496771536	0.076676820245218	"ISR"
"48"	"TG"	"4"	25.069869718244	0.0312451538470951	"TG"
"49"	"SD"	"4"	26.6505730536676	0.0355695887867038	"SD"
"50"	"SD"	"4"	24.6416114530256	0.103912826529142	"SD"
"51"	"TG"	"4"	25.4274882808808	0.116131453646447	"TG"
"52"	"CSR"	"4"	18.5740850510136	0.0748600063746931	"CSR"
"53"	"CD"	"4"	19.3576507875996	0.0101500208935927	"CD"
"54"	"TG"	"4"	19.8584771617766	0.00931250660256866	"TG"
"55"	"SD"	"4"	27.6663574095695	0.132391254064059	"SD"
"56"	"CSR"	"4"	24.799319759492	0.0202746157420148	"CSR"
"57"	"SD"	"4"	23.6053915639077	0.0794996257628932	"SD"
"58"	"SD"	"4"	24.3071437958748	0.128573480387204	"SD"
"59"	"TG"	"4"	16.4746738095437	0.0460250508140828	"TG"
"60"	"ISR"	"4"	29.5510017487311	0.134626182085504	"ISR"
"61"	"TG"	"4"	15.0958813236606	0.0383060870833833	"TG"
"62"	"TG"	"4"	16.6518572684257	0.0281525406484104	"TG"
"63"	"TG"	"4"	14.1508823210193	0.0164663181811933	"TG"
"64"	"ISR"	"4"	24.5136830729823	0.0766244250928505	"ISR"
"65"	"TG"	"4"	16.0105751252943	0.0427252403187509	"TG"
"66"	"SD"	"5"	3.85817281276949	0.00054067519443024	"SD"
"67"	"SD"	"5"	2.64576625054882	0.000678474379954941	"SD"
"68"	"DC"	"5"	7.68668613126201	0.0165778280512872	"DC"
"69"	"SD"	"5"	13.2268130240902	0.071591316349343	"ISR"
"70"	"DC"	"5"	4.19868594600308	0.00205363615889698	"DC"
"71"	"ISR"	"5"	13.2268130240902	0.071591316349343	"ISR"
"72"	"SD"	"5"	21.6210815521979	0.101209518806904	"SD"
"73"	"SD"	"5"	3.50264050883632	0.00106193256990572	"SD"
"74"	"SD"	"5"	4.76664069391066	0.000880279719730925	"SD"
"75"	"AD"	"5"	6.81634720679252	0.0162889286535945	"AD"
"76"	"SD"	"5"	22.226210917196	0.0548702690450046	"SD"
"77"	"ISR"	"5"	13.2268130240902	0.071591316349343	"ISR"
"78"	"SD"	"5"	6.37566348045103	0.00501395064976284	"SD"
"79"	"SD"	"5"	12.1671419451314	0.00363809774820922	"SD"
"80"	"SD"	"5"	5.37370994014125	0.00560318301569052	"SD"
"81"	"DC"	"5"	6.33636814548123	0.0020520312413348	"DC"
"82"	"SD"	"5"	3.11398393877091	0.00375391252675328	"SD"
"83"	"SD"	"5"	1.04966303610033	0.00405308445929076	"SD"
"84"	"SD"	"5"	22.2567659039651	0.0924562944964163	"SD"
"85"	"SD"	"5"	23.2205981900615	0.0802650653586646	"SD"
"86"	"SD"	"5"	5.8965648066613	0.00412498877118594	"SD"
"87"	"SD"	"5"	22.0744854250262	0.0859820722194902	"SD"
"88"	"CD"	"5"	1.78321793771559	0.00122052455811761	"CD"
"89"	"SD"	"5"	14.1488778052791	0.0101045513451506	"SD"
"90"	"SD"	"5"	4.51523377049354	0.0223756012557726	"SD"
"91"	"SD"	"5"	2.22829359577548	0.00412647461232318	"SD"
"92"	"AD"	"5"	10.5837228375096	0.0422040141373511	"AD"
"93"	"CD"	"5"	1.96974010621348	0.00225894587433406	"CD"
"94"	"TG"	"5"	10.6441883887014	0.0126548735708791	"TG"
"95"	"DC"	"5"	3.91051216279307	0.00114904812245953	"DC"
"96"	"TG"	"5"	12.3150318668735	0.0251017104670187	"TG"
"97"	"DC"	"5"	6.94263652832277	0.0309082342297547	"DC"
"98"	"AD"	"5"	16.863432222797	0.0506805776087249	"AD"
"99"	"CD"	"5"	6.54917340124807	0.00700620888281078	"CD"
"100"	"SD"	"5"	3.10731629402407	0.000461338946674661	"SD"
"101"	"AD"	"5"	10.3750037070244	0.0537411399444829	"AD"
"102"	"GLD"	"6"	10.5290551723972	0.0100276906960207	"GLD"
"103"	"GLD"	"6"	6.10206167159542	0.0160603491967827	"GLD"
"104"	"TG"	"6"	17.1065331197554	0.0935001514591942	"TG"
"105"	"GLD"	"6"	2.48926358069143	0.00271943674114239	"GLD"
"106"	"GLD"	"6"	9.42892839831691	0.0280939018546523	"GLD"
"107"	"TG"	"6"	17.6820050439527	0.0870644276823201	"TG"
"108"	"GLD"	"6"	1.08567518572653	0.0042618171461043	"GLD"
"109"	"AD"	"7"	17.358271291179	0.0629911104637179	"AD"
"110"	"SD"	"8"	25.8755613450081	0.0722041883402951	"SD"
"111"	"SD"	"8"	21.7702313853848	0.0387538078244374	"SD"
"112"	"SD"	"8"	41.430533178391	0.0414516432829597	"SD"
"113"	"CBD"	"9"	6.75739389850247	0.011217059142177	"CBD"
"114"	"SB"	"9"	10.0771643115628	0.0182176088070353	"SB"
"115"	"SB"	"9"	7.76816520383281	0.0258363673531828	"SB"
"116"	"TG"	"10"	4.41323969441075	0.0132544379604104	"TG"
"117"	"GLD"	"10"	5.80114047758041	0.0169266002645617	"GLD"
"118"	"GLD"	"10"	3.79865703275127	0.0117048598396856	"GLD"
"119"	"SD"	"11"	22.67783148058	0.0958074209210655	"SD"
"120"	"SD"	"11"	22.0235117481601	0.0987139110327603	"SD"
"121"	"CD"	"11"	6.68346978002979	0.0161697109990835	"CD"
"122"	"SD"	"11"	22.0235117481601	0.0987139110327603	"SD"
"123"	"SD"	"11"	7.03570747375488	0.0138359419121236	"SD"
"124"	"SD"	"11"	22.67783148058	0.0958074209210655	"SD"
"125"	"TG"	"11"	10.2201333430506	0.0063919946895723	"TG"
"126"	"SB"	"12"	9.24484002205633	0.0400323250887408	"SB"
"127"	"SB"	"12"	4.27066929109635	0.0262999266474393	"TG"
"128"	"TG"	"12"	4.6213337836727	0.00786095096937089	"TG"
"129"	"SB"	"12"	14.243023626266	0.0457980374033189	"SB"
"130"	"TG"	"12"	4.40610859470983	0.0137981634096425	"TG"
"131"	"TG"	"12"	11.1714233736838	0.046182446063629	"TG"
"132"	"SB"	"12"	20.5997082187283	0.142289354107803	"SB"
"133"	"TG"	"12"	6.55377003454393	0.0248408645827729	"TG"
"134"	"TG"	"12"	4.69519256776379	0.0351830197951587	"TG"
"135"	"SB"	"12"	28.8077647416822	0.0734868448343592	"SB"
"136"	"SB"	"12"	7.97497595510175	0.00415941722749025	"TG"
"137"	"TG"	"12"	1.53445382272044	0.00537771695351608	"TG"
"138"	"TG"	"12"	8.62032448860907	0.022145907422358	"TG"
"139"	"SB"	"12"	6.19365996699179	0.0506439117909426	"SB"
"140"	"CD"	"12"	10.1480536768513	0.0505397002902033	"CD"
"141"	"TG"	"12"	11.2445778692922	0.0367917742575742	"TG"
"142"	"SD"	"12"	20.8486337354106	0.113557697350214	"SD"
"143"	"TG"	"12"	15.6907955600369	0.0288728858847536	"TG"
"144"	"SB"	"12"	24.8732592674994	0.0485345640354337	"SB"
"145"	"TG"	"12"	1.81743635669831	0.00801652151657328	"TG"
"146"	"SD"	"12"	42.4417257385869	0.0185241667827389	"SD"
"147"	"MxD"	"12"	22.3433078642814	0.116085588076277	"MxD"
"148"	"TG"	"12"	3.78742139570175	0.0122967619705505	"TG"
"149"	"ISR"	"12"	9.08075935609879	0.00656860472455567	"TG"
"150"	"SB"	"12"	30.4842771945461	0.0667859665328076	"SB"
