profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	textur	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	gefuege2	T	U	fS	S	ton	schluff	sand	SohnefS
30	E	65	6.18	NA	0	101	S - Sand	NA	0.17	NA	299	mittlerer Grobanteil	20	locker	299	Einzelkorn	ja	-	-	-	100		8	8	3	84	8	9	83	81
30	2Bt	110	6.19	NA	0	313	sL - sandiger Lehm	NA	0.35	NA	499	sehr starker Grobanteil	20	locker	399	Kohärentgefüge	ja	-	-	-	100		18	13	4	69	18	14	68	65
31	Ap1	60	6.5	NA	0	231	lS - lehmiger Sand	NA	2.51	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	-	sehr leicht	100		11	26	13	63	11	30	59	50
31	BC	78	7.31	NA	0	231	lS - lehmiger Sand	NA	0.17	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		7	33	16	60	7	38	55	44
31	C	115	7.94	NA	1	231	lS - lehmiger Sand	NA	0.04	NA	399	starker grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		5	30	11	65	5	34	61	54
32	Ap	20	7.25	NA	52	231	lS - lehmiger Sand	NA	3.77	NA	399	starker grobanteil	20	locker	470	Krümel	ja	Fein-mittel	schwach	leicht	100		13	35	14	52	13	40	47	38
32	C	50	7.61	NA	61	231	lS - lehmiger Sand	NA	1.02	NA	399	starker grobanteil	30	mittel	480	Bröckel	ja	Grob-mittel	-	leicht	100		13	35	10	52	13	38	49	42
32	Ab1	75	7.56	NA	30	313	sL - sandiger Lehm	NA	2.18	NA	399	starker grobanteil	30	mittel	450	Subpolyeder und Bröckel	ja	Mittel-fein	schwach	leicht	50	480	16	39	11	45	16	43	41	34
32	Ab2	90	7.65	NA	56	231	lS - lehmiger Sand	NA	1.31	NA	399	starker grobanteil	30	mittel	480	Bröckel	ja	Mittel-fein	-	leicht	100		13	33	12	54	13	37	50	42
32	C	140	7.84	NA	68	231	lS - lehmiger Sand	NA	0.42	NA	499	sehr starker Grobanteil	60	sehr dicht	399	Kohärentgefüge	-	-	-	sehr schwer	100		12	33	11	55	12	37	51	44
33	Ap1	15	6.81	NA	19	332	lU - lehmiger Schluff	NA	9.31	NA	199	geringer Grobanteil	20	locker	470	Krümel	ja	Mittel-fein	deutlich	leicht	100		22	52	9	26	22	55	23	17
33	Ap2	35	6.98	NA	20	403	L - Lehm	NA	7.02	NA	199	geringer Grobanteil	20	locker	470	Krümel	ja	mittel	deutlich	leicht	100		28	51	6	21	28	53	19	15
33	B	62	7.44	NA	29	423	uL - schluffiger Lehm	NA	1.61	NA	299	mittlerer Grobanteil	30	mittel	420	Prismen	ja	Grob-mittel	deutlich	Mäßig-leicht	100		28	53	9	19	28	56	16	10
33	CB	85	7.58	NA	29	313	sL - sandiger Lehm	NA	0.78	NA	299	mittlerer Grobanteil	50	dicht	420	Prismen	-	-	schwach	schwer	100		24	43	18	33	24	49	27	15
33	C	128	7.78	NA	57	231	lS - lehmiger Sand	NA	0.22	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		14	45	11	41	14	49	37	30
33	2C	165	7.63	NA	4	231	lS - lehmiger Sand	NA	0.18	NA	199	Sehr geringer Grobanteil	20	locker	399	Kohärentgefüge	-	-	-	sehr leicht	100		8	39	30	53	8	49	43	23
34	Ap1	12	5.75	NA	0	231	lS - lehmiger Sand	NA	1.89	NA	299	mittlerer Grobanteil	20	locker	440	Polyeder	ja	fein	schwach	leicht	100		11	34	17	55	11	40	49	38
34	Ap2	38	5.42	NA	0	231	lS - lehmiger Sand	NA	0.63	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Grob-mittel	Mäßig-schwach	leicht	100		12	36	15	52	12	41	47	37
34	Bt1	90	5.67	NA	0	231	lS - lehmiger Sand	NA	0.16	NA	499	sehr starker Grobanteil	30	mittel	440	Polyeder	-	Grob-mittel	stark	Mäßig-leicht	100		9	30	15	61	9	35	56	46
34	2Bt2	135	5.72	NA	0	231	lS - lehmiger Sand	NA	0.26	NA	599	skelettboden	30	mittel	450	Subpolyeder und Einzelkorn	-	mittel	schwach	leicht	50	299	13	15	5	72	13	16	71	67
35	Ap1	13	7.31	NA	3	231	lS - lehmiger Sand	NA	1.65	NA	199	Sehr geringer Grobanteil	30	mittel	299	Einzelkorn	-	-	-	-	100		5	25	22	70	5	32	63	48
35	Ap2	38	7.49	NA	4	231	lS - lehmiger Sand	NA	0.9	NA	199	Sehr geringer Grobanteil	30	mittel	299	Einzelkorn	-	-	-	-	100		5	29	21	66	5	36	59	45
35	B	85	7.64	NA	3	121	uS - schluffiger Sand	NA	0.42	NA	199	Sehr geringer Grobanteil	30	mittel	450	Subpolyeder und Einzelkorn	-	-	sehr schwach	-	50	299	4	27	21	69	4	34	62	48
35	BC	105	7.83	NA	3	231	lS - lehmiger Sand	NA	0.31	NA	199	Sehr geringer Grobanteil	30	mittel	450	Subpolyeder	-	Grob-mittel	-	-	100		5	25	19	70	5	31	64	51
35	Cbt	135	7.94	NA	1	101	S - Sand	NA	0.02	NA	199	Sehr geringer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		3	22	15	75	3	27	70	60
36	Ap	80	7.46	NA	43	313	sL - sandiger Lehm	NA	1.22	NA	299	mittlerer Grobanteil	30	mittel	440	Polyeder	ja	Mittel-fein	stark	Mäßig-leicht	100		24	47	12	29	24	51	25	17
36	BC	110	7.64	NA	59	332	lU - lehmiger Schluff	NA	0.77	NA	299	mittlerer Grobanteil	30	mittel	440	Polyeder	ja	Mittel-grob	mäßig	leicht	100		19	54	11	27	19	58	23	16
37	Ap1	21	6.25	NA	1	231	lS - lehmiger Sand	NA	2.13	NA	299	mittlerer Grobanteil	20	locker	440	Polyeder	-	Fein-sehr fein	schwach	sehr leicht	100		12	28	14	60	12	33	55	46
37	Ap2	47	6.55	NA	1	231	lS - lehmiger Sand	NA	0.96	NA	299	mittlerer Grobanteil	30	mittel	440	Polyeder	-	mittel	schwach	leicht	100		12	26	11	62	12	30	58	51
37	Bt1	75	6.75	NA	1	313	sL - sandiger Lehm	NA	0.1	NA	399	starker grobanteil	30	mittel	440	Polyeder und Kohärent	-	mittel	schwach	leicht	50	399	16	18	3	66	16	19	65	63
37	2BC	140	6.9	NA	1	313	sL - sandiger Lehm	NA	0.12	NA	499	sehr starker Grobanteil	30	mittel	450	Subpolyeder und Kohärent	-	grob	schwach	sehr leicht	50	399	18	16	3	66	18	17	65	63
38	Ap1	32	5.37	NA	0	231	lS - lehmiger Sand	NA	1.72	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	schwach	sehr leicht	100		10	29	17	61	10	35	55	44
38	Ap2	75	5.08	NA	0	231	lS - lehmiger Sand	NA	0.61	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	schwach	sehr leicht	100		10	28	18	62	10	34	56	44
38	Bt1	110	5.4	NA	0	231	lS - lehmiger Sand	NA	0.22	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	mittel	schwach	sehr leicht	100		6	35	17	59	6	41	53	42
38	Ct	160	5.72	NA	0	121	uS - schluffiger Sand	NA	0.06	NA	199	geringer Grobanteil	30	mittel	399	Kohärentgefüge bis Einzelkorn	-	-	-	leicht	50	299	3	28	10	69	3	31	66	59
39	Ap1	17	6.53	NA	1	231	lS - lehmiger Sand	NA	2.2	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	schwach	sehr leicht	100		7	17	1	76	7	17	76	75
39	Ap2	75	6.96	NA	1	231	lS - lehmiger Sand	NA	0.49	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	sehr leicht	100		5	16	2	79	5	16	79	77
39	B/C	160	7.29	NA	1	231	lS - lehmiger Sand	NA	0.31	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder und Einzelkorn	ja	mittel	sehr schwach	-	50	299	6	20	1	74	6	20	74	73
40	Ap1	15	7.08	NA	20	231	lS - lehmiger Sand	NA	2.3	NA	299	mittlerer Grobanteil	20	locker	470	Krümel	ja	Mittel-fein	deutlich	leicht	100		9	23	8	68	9	25	66	60
40	Ap2	50	7.29	NA	19	231	lS - lehmiger Sand	NA	1.42	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	deutlich	leicht	100		10	23	14	67	10	28	62	53
40	C2	85	7.78	NA	30	231	lS - lehmiger Sand	NA	0.15	NA	199	geringer Grobanteil	20	locker	399	Kohärentgefüge	-	-	-	sehr leicht	100		7	34	19	59	7	40	53	40
40	C3	120	7.81	NA	37	231	lS - lehmiger Sand	NA	0.14	NA	599	skelettboden	20	locker	299	Einzelkorn	-	-	-	-	100		5	23	10	72	5	26	69	62
40	C4	160	7.73	NA	33	101	S - Sand	NA	0.01	NA	299	mittlerer Grobanteil	20	locker	299	Einzelkorn	-	-	-	-	100		3	8	10	89	3	11	86	79
41	Ap1	16	5.39	NA	0	231	lS - lehmiger Sand	NA	2.58	NA	299	mittlerer Grobanteil	20	locker	470	Krümel	-	mittel	schwach	leicht	100		13	37	15	49	13	42	45	34
41	Ap2	55	4.93	NA	0	231	lS - lehmiger Sand	NA	0.95	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	Mittel-grob	mäßig	leicht	100		13	36	16	51	13	41	46	35
41	Bt	85	5.1	NA	0	231	lS - lehmiger Sand	NA	0.27	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		11	28	14	61	11	33	56	47
41	Bct	115	5.39	NA	0	231	lS - lehmiger Sand	NA	0.14	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	grob	schwach	leicht	100		7	25	12	68	7	29	64	56
41	Cbt	160	5.67	NA	0	231	lS - lehmiger Sand	NA	0.09	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		7	38	16	55	7	43	50	39
42	Ap1	18	6.93	NA	5	403	L - Lehm	NA	4.18	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	mäßig	leicht	100		27	42	11	31	27	46	27	20
42	Ap2	40	6.99	NA	2	403	L - Lehm	NA	2.53	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	deutlich	leicht	100		28	41	12	31	28	45	27	19
42	B	120	7.11	NA	1	423	uL - schluffiger Lehm	NA	0.49	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	-	Mittel-grob	stark	leicht	100		25	56	13	30	25	61	14	17
42	BC	150	7.62	NA	30	332	lU - lehmiger Schluff	NA	0.23	NA	199	geringer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		15	70	9	15	15	73	12	6
43	Ap1	15	6.73	NA	11	231	lS - lehmiger Sand	NA	4.15	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		14	31	15	55	14	36	50	40
43	Ap2	53	7.14	NA	9	231	lS - lehmiger Sand	NA	1.18	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		14	33	16	53	14	38	48	37
43	2C	110	7.61	NA	4	231	lS - lehmiger Sand	NA	0.17	NA	199	geringer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		6	39	18	55	6	45	49	37
44	Ap1	28	6.81	NA	3	231	lS - lehmiger Sand	NA	1.4	NA	299	mittlerer Grobanteil	20	locker	470	Krümel und Einzelkorn	ja	Mittel-fein	schwach	sehr leicht	50	299	7	14	6	79	7	16	77	73
44	Ap2	65	6.8	NA	4	231	lS - lehmiger Sand	NA	1.89	NA	399	starker grobanteil	20	locker	299	Einzelkorn	ja	-	-	-	100		7	16	6	77	7	18	75	71
44	C	120	6.99	NA	2	231	lS - lehmiger Sand	NA	0.86	NA	499	sehr starker Grobanteil	30	mittel	299	Einzelkorn	ja	-	-	-	100		8	16	8	76	8	18	74	68
45	Ap1	18	5.88	NA	0	231	lS - lehmiger Sand	NA	2.05	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	mäßig	leicht	100		14	33	15	53	14	38	48	38
45	Ap2	50	6.11	NA	0	313	sL - sandiger Lehm	NA	0.85	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	mäßig	leicht	100		15	33	15	52	15	38	47	37
45	Bt	83	6.21	NA	0	313	sL - sandiger Lehm	NA	0.22	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder		mittel	mäßig	leicht	100		20	20	11	60	20	24	56	49
45	BC	115	6.4	NA	0	231	lS - lehmiger Sand	NA	0.12	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärent und Einzelkorn	-	-	-	-	50	299	8	17	17	75	8	22	70	58
46	Ap1	40	6.05	NA	0	313	sL - sandiger Lehm	NA	4.51	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		19	39	13	42	19	43	38	29
46	Ap2	75	6.02	NA	0	313	sL - sandiger Lehm	NA	0.84	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		19	38	12	43	19	42	39	31
46	B	130	6.13	NA	0	313	sL - sandiger Lehm	NA	0.4	NA	199	Sehr geringer Grobanteil	20	locker	450	Subpolyeder	ja	mittel	mäßig	sehr leicht	100		18	39	18	43	18	45	37	25
47	Ap1	18	6.23	NA	0	231	lS - lehmiger Sand	NA	2.01	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-fein	mäßig	leicht	100		13	32	14	55	13	37	50	41
47	Ap2	65	6.28	NA	0	231	lS - lehmiger Sand	NA	1.04	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	schwach	leicht	100		13	32	16	55	13	37	50	39
47	Bt	125	6.53	NA	0	231	lS - lehmiger Sand	NA	0.18	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	deutlich	leicht	100		11	19	17	70	11	25	64	53
47	BC	150	6.61	NA	0	231	lS - lehmiger Sand	NA	0.08	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		6	21	14	73	6	25	69	59
48	Ap1	12	5.87	NA	0	231	lS - lehmiger Sand	NA	3.13	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder und Krümel	ja	Fein-mittel	schwach	leicht	50	470	9	21	9	70	9	24	67	61
48	Ap2	38	6.5	NA	0	231	lS - lehmiger Sand	NA	2.48	NA	399	starker grobanteil	30	mittel	450	Subpolyeder	ja	mittel	schwach	sehr leicht	100		9	21	10	70	9	24	67	60
48	B	110	6.37	NA	0	101	S - Sand	NA	0.42	NA	499	sehr starker Grobanteil	20	locker	299	Einzelkorn	ja	-	-	-	100		5	8	4	87	5	9	86	83
49	Ap1	12	7.13	NA	5	313	sL - sandiger Lehm	NA	1.51	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder und Krümel	-	Fein-mittel	mäßig	leicht	50	470	16	31	12	53	16	35	49	41
49	Ap2	55	7.54	NA	5	313	sL - sandiger Lehm	NA	0.2	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	-	Mittel-grob	mäßig	leicht	100		17	33	11	50	17	37	46	39
49	C1	75	7.64	NA	7	231	lS - lehmiger Sand	NA	0.1	NA	499	sehr starker Grobanteil	30	mittel	299	Einzelkorn	-	-	-	-	100		12	17	5	71	12	18	70	66
49	C2	85	7.77	NA	11	403	L - Lehm	NA	0.12	NA	299	mittlerer Grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	-	100		37	45	7	18	37	47	16	11
50	Ap1	28	7.13	NA	36	313	sL - sandiger Lehm	NA	6.3	NA	399	starker grobanteil	20	locker	450	Subpolyeder und Krümel	ja	Mittel-fein	deutlich	leicht	50	470	21	41	11	38	21	45	34	27
50	Ap2	72	7.26	NA	42	313	sL - sandiger Lehm	NA	1.79	NA	499	sehr starker Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	deutlich	leicht	100		24	38	12	38	24	42	34	26
50	C	100	7.66	NA	88	313	sL - sandiger Lehm	NA	0.58	NA	499	sehr starker Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	mäßig	leicht	100		19	47	9	34	19	50	31	25
51	Ap1	14	6.9	NA	13	231	lS - lehmiger Sand	NA	3.1	NA	299	mittlerer Grobanteil	20	locker	450	Subpolyeder und Krümel	ja	fein	deutlich	leicht	50	470	13	29	12	58	13	33	54	46
51	Ap2	36	9.96	NA	11	231	lS - lehmiger Sand	NA	2.25	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	deutlich	leicht	100		14	28	12	58	14	32	54	46
51	B	71	7.44	NA	13	231	lS - lehmiger Sand	NA	0.44	NA	399	starker grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	mäßig	leicht	100		10	23	10	67	10	26	64	57
51	C1	100	7.71	NA	19	101	S - Sand	NA	0.09	NA	499	sehr starker Grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	sehr leicht	100		4	9	7	87	4	11	85	80
51	C2	120	7.64	NA	21	231	lS - lehmiger Sand	NA	0.24	NA	199	geringer Grobanteil	30	mittel	399	Kohärent und Einzelkorn	-	-	-	-	50	299	6	34	20	60	6	41	53	40
52	Ap1	15	6.4	NA	0	313	sL - sandiger Lehm	NA	3.47	NA	199	geringer Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	mäßig	leicht	100		15	31	15	54	15	36	49	39
52	Ap2	65	6.53	NA	0	313	sL - sandiger Lehm	NA	1.25	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		17	34	15	49	17	39	44	34
52	B	135	6.91	NA	0	313	sL - sandiger Lehm	NA	0.81	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	deutlich	leicht	100		16	31	14	53	16	36	48	39
53	Ap	40	6.98	NA	0	403	L - Lehm	NA	3.51	NA	499	sehr starker Grobanteil	20	locker	450	Subpolyeder	ja	Fein-mittel	stark	leicht	100		34	50	9	16	34	53	13	7
53	B	130	6.9	NA	0	423	uL - schluffiger Lehm	NA	0.88	NA	499	sehr starker Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	stark	leicht	100		35	52	7	13	35	55	10	6
54	Ap	40	7.08	NA	35	313	sL - sandiger Lehm	NA	4.49	NA	199	geringer Grobanteil	30	mittel	480	Bröckel	ja	Grob-mittel	-	leicht	100		19	45	16	36	19	50	31	20
54	B	90	7.39	NA	24	332	lU - lehmiger Schluff	NA	2.73	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	deutlich	leicht	100		24	51	13	25	24	56	20	12
54	2C	150	7.57	NA	34	231	lS - lehmiger Sand	NA	0.52	NA	399	starker grobanteil	30	mittel	299	Einzelkorn	ja	-	-	-	100		7	16	8	77	7	18	75	69
55	Ap1	20	5.75	NA	0	231	lS - lehmiger Sand	NA	1.81	NA	299	mittlerer Grobanteil	10	sehr locker	450	Subpolyeder und Einzelkorn	ja	fein	schwach	sehr leicht	50	299	8	18	8	74	8	20	72	66
55	Ap2	65	5.85	NA	0	231	lS - lehmiger Sand	NA	0.38	NA	499	sehr starker Grobanteil	10	sehr locker	450	Subpolyeder und Einzelkorn	ja	zerfallend	-	sehr leicht	50	299	7	17	8	76	7	19	74	68
55	B	125	5.82	NA	0	231	lS - lehmiger Sand	NA	0.15	NA	399	starker grobanteil	10	sehr locker	450	Subpolyeder und Einzelkorn	ja	zerfallend	-	sehr leicht	50	299	7	13	9	80	7	16	77	71
56	Ap	55	6.81	NA	5	231	lS - lehmiger Sand	NA	2.51	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	schwach	leicht	100		14	24	11	62	14	28	58	51
56	BC	110	7.38	NA	10	231	lS - lehmiger Sand	NA	0.5	NA	399	starker grobanteil	20	locker	450	Subpolyeder	ja	mittel	schwach	sehr leicht	100		10	20	9	70	10	23	67	61
57	Ap	52	7.34	NA	36	231	lS - lehmiger Sand	NA	4.28	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	schwach	leicht	100		12	25	15	63	12	30	58	48
57	C	125	7.74	NA	38	101	S - Sand	NA	0.2	NA	499	sehr starker Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	schwach	leicht	100		4	22	14	74	4	26	70	60
58	Ap	60	5.8	NA	0	231	lS - lehmiger Sand	NA	2	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	mäßig	leicht	100		14	33	15	53	14	38	48	38
58	Bt	100	6.17	NA	0	231	lS - lehmiger Sand	NA	0.18	NA	499	sehr starker Grobanteil	20	locker	450	Subpolyeder	ja	Mittel-fein	schwach	sehr leicht	100		10	21	12	69	10	25	65	57
58	C	125	6.3	NA	0	231	lS - lehmiger Sand	NA	0.1	NA	399	starker grobanteil	30	mittel	399	Kohärentgefüge	-	-	-	leicht	100		14	31	12	55	14	35	51	43
59	Ap1	50	7.24	NA	20	313	sL - sandiger Lehm	NA	4.06	NA	199	geringer Grobanteil	30	mittel	450	Subpolyeder	ja	Mittel-grob	deutlich	leicht	100		20	42	15	38	20	47	33	23
59	Ap2	75	7.57	NA	24	231	lS - lehmiger Sand	NA	0.87	NA	299	mittlerer Grobanteil	30	mittel	450	Subpolyeder	ja	mittel	mäßig	leicht	100		12	25	17	63	12	31	57	46
59	C	105	7.86	NA	35	101	S - Sand	NA	0.07	NA	299	mittlerer Grobanteil	20	locker	299	Einzelkorn	ja	-	-	-	100		3	10	23	87	3	17	80	64
