profilnummer	rechtswert	hochwert	neigungmikro	gruendigkeit_wert	ol_maecht	of_maecht	oh_maecht	flurabstand	ausgangsmaterial	ausgangsmaterial_text	Substrat	bodentyp_oe	bodentyp_text	humusform	humusform_text	hoehenstufe	hoehenstufe_text	oekofeuchte	oekofeuchte_text	landnutzung	landnutzung_text	
32	11	46	25	140	0	0	0	10	50000	Lockersedimente	Kalkgesteinschutt			110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
33	11	46	4	165	0	0	0	10	50000	Lockersedimente	Kalkgesteinschutt	1312	karbonathaltige Braunerde	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Apfel
34	11	46	10	130	0	0	0	10	50000	Lockersedimente	Moraene	1311	karbonatfreie Braunerde	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
35	11	46	20	130	0	0	0	10	50000	Lockersedimente	lakustrisches Sediment	1312	karbonathaltige Braunerde	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
36	11	46	4	140	0	0	0	10	50000	Lockersedimente	Kalkgesteinschutt	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
37	11	46	7	130	0	0	0	10	50000	Lockersedimente	Moraene	1741	karbonatfreier Rigolboden	110	Mull	11	Kollin-planar	240	frisch	500	Sonderkultur	Apfel
38	11	46	12	150	0	0	0	10	50000	Lockersedimente	lakustrisches Sediment	1741	karbonatfreier Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
39	11	46	14	160	0	0	0	10	50000	Lockersedimente	lakustrisches Sediment	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
40	11	46	0	85	0	0	0	10	50000	Lockersedimente	Kalkgesteinschutt	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
41	11	46	8	150	0	0	0	10	50000	Lockersedimente	Moraene	1741	karbonatfreier Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
42	11	46	0	150	0	0	0	10	50000	Lockersedimente	Kalklehmkolluvium	1312	karbonathaltige Braunerde	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Apfel
43	11	46	5	110	0	0	0	10	50000	Lockersedimente	Kalkgesteinschutt	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
44	11	46	17	120	0	0	0	10	50000	Lockersedimente	fluviatile Schotter	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
45	11	46	4	160	0	0	0	10	50000	Lockersedimente	Kolluviuam	1741	karbonatfreier Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
46	11	46	0	130	0	0	0	10	50000	Lockersedimente	Kolluvium	1741	karbonatfreier Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
47	11	46	6	150	0	0	0	10	50000	Lockersedimente	Moraene	1741	karbonatfreier Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
48	11	46	5	120	0	0	0	10	50000	Lockersedimente	fluviatile Schotter	1311	karbonatfreie Braunerde	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
49	11	46	5	80	0	0	0	10	50000	Lockersedimente	Moraene	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
50	11	46	6	110	0	0	0	10	50000	Lockersedimente	Kalkgesteinschutt	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
51	11	46	6	120	0	0	0	10	50000	Lockersedimente	Kalkgesteinschutt	1312	karbonathaltige Braunerde	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
52	11	46	8	135	0	0	0	10	50000	Lockersedimente	Kolluvium	1741	karbonatfreier Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
53	11	46	0	130	0	0	0	10	50000	Lockersedimente	Kolluvium	1311	karbonatfreie Braunerde	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Apfel
54	11	46	4	150	0	0	0	10	50000	Lockersedimente	Kolluvium ueber Kalgesteinschutt	1312	karbonathaltige Braunerde	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Apfel
55	11	46	8	125	0	0	0	10	50000	Lockersedimente	fluviatile Schotter	1741	karbonatfreier Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
56	11	46	10	110	0	0	0	10	50000	Lockersedimente	fluviatile Schotter	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
57	11	46	10	125	0	0	0	10	50000	Lockersedimente	Kalkgesteinschutt	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
58	11	46	8	120	0	0	0	10	50000	Lockersedimente	Moraene	1741	karbonatfreier Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Weinrebe
59	11	46	5	105	0	0	0	10	50000	Lockersedimente	Kalkgesteinschutt	1742	karbonathaltiger Rigolboden	110	Mull	11	Kollin-planar	260	feucht	500	Sonderkultur	Apfel
