profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	1_U	BvCv1	46					3.8	sU - sandiger Schluff					humusfrei (0%)		70.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	50																		0.0	70.0	Ld5	2.0	240.0	18.0	0.0	25.0	37.0	30.0	25.0	41.0	300.0	8.0	2.0	20.0	
361	1_U	Ahb	6					3.9	sU - sandiger Schluff					stark humos (4-8%)		70.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70									20.0	40.0	40.0							6.0	70.0	Ld2	1.3	23.0	2.0	1.4	5.0	8.0	5.0	5.0	11.0	300.0	20.0	6.0	20.0	
361	1_U	BvCv2	60					4.2	sU - sandiger Schluff					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	50																		0.0	80.0	Ld5	2.0	56.0	4.0	0.0	6.0	9.0	7.0	6.0	10.0	300.0	8.0	4.0	30.0	
