profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	bodenart_text	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	T	U	fS	S	ton	schluff	sand
50	Ap1	28	7.13		36				6.3		399	starker grobanteil			450	Subpolyeder und Krümel	ja	Mittel-fein	deutlich	leicht	50	21	41	11	38			
50	Ap2	72	7.26		42				1.79		499	sehr starker Grobanteil			450	Subpolyeder	ja	Mittel-fein	deutlich	leicht		24	38	12	38			
50	C	100	7.66		88				0.58		499	sehr starker Grobanteil			450	Subpolyeder	ja	mittel	mäßig	leicht		19	47	9	34			
51	Ap1	14	6.9		13				3.1		299	mittlerer Grobanteil			450	Subpolyeder und Krümel	ja	fein	deutlich	leicht	50	13	29	12	58			
51	Ap2	36	9.96		11				2.25		299	mittlerer Grobanteil			450	Subpolyeder	ja	mittel	deutlich	leicht		14	28	12	58			
51	B	71	7.44		13				0.44		399	starker grobanteil			450	Subpolyeder	ja	Mittel-fein	mäßig	leicht		10	23	10	67			
51	C1	100	7.71		19				0.09		499	sehr starker Grobanteil			450	Subpolyeder	ja	mittel	schwach	sehr leicht		4	9	7	87			
51	C2	120	7.64		21				0.24		199	geringer Grobanteil			399	Kohärent und Einzelkorn	-	-	-	-	50	6	34	20	60			
52	Ap1	15	6.4		0				3.47		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-fein	mäßig	leicht		15	31	15	54			
52	Ap2	65	6.53		0				1.25		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		17	34	15	49			
52	B	135	6.91		0				0.81		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	deutlich	leicht		16	31	14	53			
53	Ap	40	6.98		0				3.51		499	sehr starker Grobanteil			450	Subpolyeder	ja	Fein-mittel	stark	leicht		34	50	9	16			
53	B	130	6.9		0				0.88		499	sehr starker Grobanteil			450	Subpolyeder	ja	Mittel-grob	stark	leicht		35	52	7	13			
54	Ap	40	7.08		35				4.49		199	geringer Grobanteil			480	Bröckel	ja	Grob-mittel	-	leicht		19	45	16	36			
54	B	90	7.39		24				2.73		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	deutlich	leicht		24	51	13	25			
54	2C	150	7.57		34				0.52		399	starker grobanteil			299	Einzelkorn	ja	-	-	-		7	16	8	77			
55	Ap1	20	5.75		0				1.81		299	mittlerer Grobanteil			450	Subpolyeder und Einzelkorn	ja	fein	schwach	sehr leicht	50	8	18	8	74			
55	Ap2	65	5.85		0				0.38		499	sehr starker Grobanteil			450	Subpolyeder und Einzelkorn	ja	zerfallend	-	sehr leicht	50	7	17	8	76			
55	B	125	5.82		0				0.15		399	starker grobanteil			450	Subpolyeder und Einzelkorn	ja	zerfallend	-	sehr leicht	50	7	13	9	80			
56	Ap	55	6.81		5				2.51		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-grob	schwach	leicht		14	24	11	62			
56	BC	110	7.38		10				0.5		399	starker grobanteil			450	Subpolyeder	ja	mittel	schwach	sehr leicht		10	20	9	70			
57	Ap	52	7.34		36				4.28		299	mittlerer Grobanteil			450	Subpolyeder	ja	mittel	schwach	leicht		12	25	15	63			
57	C	125	7.74		38				0.2		499	sehr starker Grobanteil			450	Subpolyeder	ja	mittel	schwach	leicht		4	22	14	74			
58	Ap	60	5.8		0				2		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		14	33	15	53			
58	Bt	100	6.17		0				0.18		499	sehr starker Grobanteil			450	Subpolyeder	ja	Mittel-fein	schwach	sehr leicht		10	21	12	69			
58	C	125	6.3		0				0.1		399	starker grobanteil			399	Kohärentgefüge	-	-	-	leicht		14	31	12	55			
59	Ap1	50	7.24		20				4.06		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	deutlich	leicht		20	42	15	38			
59	Ap2	75	7.57		24				0.87		299	mittlerer Grobanteil			450	Subpolyeder	ja	mittel	mäßig	leicht		12	25	17	63			
59	C	105	7.86		35				0.07		299	mittlerer Grobanteil			299	Einzelkorn	ja	-	-	-		3	10	23	87			
