profilnummer	bezeichnung	tiefe	ph_wert	carbonat_klasse	carbonat_wert	bodenart	bodenart_text	humus_klasse	humus_wert	skelett_wert	skelett_klasse	skelett_text	dichte_klasse	dichtklasse_text	gefuege1	gefuege_text	poroes	gefuege_text2	gefuege_auspraegung	zerdürckbar	gefuege1_anteil	T	U	fS	S	ton	schluff	sand
13	C	120	7.76		8				0.24		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	plattig	-			68	30	1	2			
14	Ap1	25	5.65		0				1.53		199	Sehr geringer Grobanteil			450	Subpolyeder	-	Mittel-grob	schwach			13	36	20	51			
14	Ap2	77	5.96		0				0.62		199	geringer Grobanteil			450	Subpolyeder	-	Mittel-grob	schwach			13	37	23	50			
14	B	95	6.16		0				0.34		199	Sehr geringer Grobanteil			440	Polyeder	-	Grob-mittel	sehr schwach			13	38	22	49			
14	BC	145	6.37		0				0.19		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	leicht zerdrückbar	-			8	32	27	60			
14	C	170	6.49		0				0.02		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	sehr leicht zerdrückbar	-			3	22	30	75			
15	Ap1	25	5.59		0				1.98		199	Sehr geringer Grobanteil			450	Subpolyeder	-	grob	schwach			13	36	20	51			
15	Ap2	45	6.06		0				0.71		199	geringer Grobanteil			450	Subpolyeder	-	Grob-mittel	mittel			14	37	22	49			
15	B1	90	6.18		0				0.48		199	geringer Grobanteil			450	Subpolyeder	-	Grob-mittel	mittel			15	33	23	52			
15	B2	130	6.5		0				0.26		199	Sehr geringer Grobanteil			450	Subpolyeder	-	grob	schwach			10	35	24	55			
15	Bct	170	6.69		0				0.21		199	Sehr geringer Grobanteil			440	Polyeder	-	sehr grob	schwach			13	29	27	58			
16	Ap1	30	7.14		3				2.1		299	mittlerer Grobanteil			450	Subpolyeder	ja	Grob-mittel	schwach			6	27	67	67			
16	Ap2	65	7.31		2				1.45		299	mittlerer Grobanteil			450	Subpolyeder	-	Mittel-grob	schwach			7	26	67	67			
16	2Ck	130	7.69		5				0.2		199	geringer Grobanteil			399	Kohärentgefüge	-	leicht zerdrückbar				3	38	59	59			
17	Ap1	15	7.17		6				3.68		199	geringer Grobanteil			450	Subpolyeder	ja	Fein-mittel	schwach			17	30	14	53			
17	Ap2	60	7.32		3				1.33		199	geringer Grobanteil			440	Polyeder und subpolyeder	ja	Grobe-feine	mittel		50	19	31	14	50			
17	B1	110	7.34		1				0.35		199	geringer Grobanteil			440	Polyeder	ja	sehr grob	mittel			15	40	19	45			
17	B2	150	7.46		2				0.38		299	mittlerer Grobanteil			440	Polyeder	-	grob	schwach			15	39	20	46			
17	BC	170	7.43		1				0.26		199	geringer Grobanteil			399	Kohärentgefüge	-	leicht zerdrückbar				12	45	23	43			
18	Ap1	12	5.72		0				1.52		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	sehr leicht zerdrückbar				5	13	18	82			
18	Ap2	55	6.12		0				0.96		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	sehr leicht zerdrückbar				5	12	17	83			
18	E	115	6.64		0				0.2		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	sehr leicht zerdrückbar				5	12	21	83			
18	Bt1	130	6.74		0				0.18		199	Sehr geringer Grobanteil			440	Polyeder	-	Mittel-grob	schwach			8	26	26	66			
18	Bt2	148	6.76		0				0.15		199	Sehr geringer Grobanteil			440	Polyeder	-	Mittel-grob	mäßig			9	27	32	64			
18	Bct	173	6.74		0				0.09		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	sehr leicht zerdrückbar				5	21	36	74			
18	CB	200	6.88		0				0.1		199	Sehr geringer Grobanteil			399	Kohärentgefüge	-	zerfallend				3	31	31	66			
19	Ap1	10	5.55		0				3.58		199	geringer Grobanteil			450	Subpolyeder	-	Fein-mittel	schwach			9	31	14	60			
19	Ap2	72	6.165		0				0.87		199	geringer Grobanteil			450	Subpolyeder	-	Fein-grob	schwach			9	31	16	60			
19	Bct	90	6.17		0				0.19		199	geringer Grobanteil			399	Kohärentgefüge	-	mäßig leicht zerdrückbar				4	27	17	69			
19	BC	125	6.45		0				0.05		199	geringer Grobanteil			399	Kohärentgefüge	-	mäßig schwer zerdrückbar				5	34	15	61			
20	Ap1	20	7.31		17				2.99		199	geringer Grobanteil			399	Kohärent und Bröckel	-	leicht zerdrückbar		leicht	50	6	26	20	68			
20	Ap2	47	7.41		19				8.31		199	geringer Grobanteil			450	Subpolyeder	-	mittel	mäßig	leicht		8	38	10	54			
20	Cg1	75	7.48		20				18.75		199	geringer Grobanteil			450	Subpolyeder	-	mittel	mäßig	sehr leicht		10	74	6	16			
20	Cg2	110	7.7		11				2.05		199	geringer Grobanteil			440	Polyeder		grob	mäßig	sehr leicht		8	45	32	47			
21	Ap1	30	7.19		8				2.72		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		17	39	12	44			
21	Ap2	60	7.34		1				1.49		299	mittlerer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		19	35	12	46			
21	Bct	100	7.26		0				0.17		299	mittlerer Grobanteil			440	Polyeder	-	grob	mittel	Mäßig-schwer		15	39	9	46			
21	Ct	135	7.41		0				0.1		399	starker grobanteil			399	Kohärentgefüge	-			leicht		15	34	10	51			
22	Ap1	24	6.15		1				1.5		199	geringer Grobanteil			450	Subpolyeder	ja	mittel	schwach	leicht		11	34	14	55			
22	Ap2	60	5.9		0				2.51		199	geringer Grobanteil			450	Subpolyeder	ja	mittel	schwach	sehr leicht		11	35	13	54			
22	Bck	82	7.67		7				0.27		199	geringer Grobanteil			440	Polyeder	-	Mittel-grob	mäßig	leicht		6	34	14	60			
22	2Ck	115	7.77		6				0.15		399	starker grobanteil			399	Kohärentgefüge	-			sehr leicht		4	24	11	72			
23	Ap1	14	5.95		0				3.13		199	geringer Grobanteil			450	Subpolyeder und Krümel	-			leicht	50	15	39	13	46			
23	Ap2	43	5.93		0				1.6		199	geringer Grobanteil			450	Subpolyeder		Mittel-fein	mäßig	leicht		13	34	17	53			
23	Bt1	80	6.14		0				0.35		299	mittlerer Grobanteil			450	Subpolyeder		Mittel-fein	mäßig	leicht		10	28	13	62			
23	Bt2	100	6.17		0				0.21		299	mittlerer Grobanteil			450	Subpolyeder		Mittel-grob	schwach	sehr leicht		7	29	13	64			
23	BC	120	6.28		0				0.24		299	mittlerer Grobanteil			450	Subpolyeder		Mittel-grob	schwach	sehr leicht		7	27	14	66			
23	CB	170	6.34		0				0.05		299	mittlerer Grobanteil			399	Kohärentgefüge				leicht		3	23	16	74			
24	Ap1	15	7.01		2				4.87		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mittel	leicht		15	29	16	56			
24	Ap2	50	6.88		0				2.36		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mittel	sehr leicht		13	34	15	53			
24	Ap3	90	6.96		0				0.83		199	geringer Grobanteil			450	Subpolyeder	-	Mittel-grob	mittel	sehr leicht		14	36	17	50			
24	2B	145	6.83		0				0.51		199	Sehr geringer Grobanteil			450	Subpolyeder	-	Mittel-grob	mittel	leicht		13	43	20	44			
25	Ap1	35	5.62		0				1.68		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	mäßig	leicht		11	34	20	55			
25	Ap2	63	5.93		0				1.86		199	geringer Grobanteil			450	Subpolyeder	ja	mittel	schwach	sehr leicht		12	32	19	56			
25	E	92	6.38		0				0.44		199	Sehr geringer Grobanteil			450	Subpolyeder	-	Mittel-grob	schwach	sehr leicht		11	42	25	47			
25	Bt1	115	6.46		0				0.3		199	Sehr geringer Grobanteil			440	Polyeder	-	Mittel-grob	mittel	sehr leicht		10	44	26	46			
25	Bt2	140	6.58		0				0.15		399	starker grobanteil			440	Polyeder	-	Mittel-grob	schwach	leicht		9	32	19	59			
26	Ap1	12	5.64		0				4.39		199	geringer Grobanteil			450	Subpolyeder	-	mittel	mäßig	leicht		11	29	11	60			
26	Ap2	48	6.08		0				1.06		299	mittlerer Grobanteil			450	Subpolyeder	-	mittel	mäßig	leicht		12.5	25.5	12.5	62			
26	Bct	64	7.15		2				0.38		299	mittlerer Grobanteil			450	Subpolyeder	-	mittel	mittel	leicht		14	25	14	61			
26	C	115	7.72		7				0.05		299	mittlerer Grobanteil			399	Kohärentgefüge	-	-	-	sehr leicht		5	28	12	67			
27	Ap1	20	6.15		0				2.67		199	geringer Grobanteil			450	Subpolyeder	ja	mittel	schwach	leicht		10	25	15	65			
27	Ap2	62	6.21		0				1.34		199	geringer Grobanteil			450	Subpolyeder	ja	Mittel-grob	schwach	leicht		10	28	10	62			
27	B	130	6.5		0				0.21		299	mittlerer Grobanteil			450	Subpolyeder	-	Mittel-grob	schwach	leicht		7	22	14	71			
27	C/B	160	6.69		0				0.03		299	mittlerer Grobanteil			399	Kohärentgefüge	-	-	-	leicht		5	30	12	65			
