profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	38_U	Bv1	30					3.9	lS - lehmiger Sand					mittel humos (2-4%)		5.0	gering (0 bis <10%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		3.0	5.0	Ld3	1.55	368.0	37.0	11.0	52.0	81.0	20.0	52.0	101.0	20.0	13.0	4.0	20.0	
361	38_U	BvCv3	75					4.1	lS - lehmiger Sand					humusfrei (0%)		70.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		0.0	70.0	Ld4	1.8	81.0	8.0	0.0	8.0	12.0	11.0	8.0	15.0	300.0	7.0	4.0	20.0	
361	38_U	Cv	100					4.5	lS - lehmiger Sand					humusfrei (0%)		90.0	vorwiegend (über 80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		0.0	90.0	Ld5	2.0	50.0	5.0	0.0	5.0	7.0	6.0	5.0	8.0	300.0	7.0	4.0	40.0	
361	38_U	Ah	5					3.9	uS - schluffiger Sand					sehr stark humos (8-15%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		12.5	0.0	Ld1	1.0	50.0	1.0	6.3	15.0	23.0	5.0	15.0	23.0	40.0	29.0	9.0	20.0	
361	38_U	Bv2	60					3.9	lS - lehmiger Sand					humusfrei (0%)		60.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	70																		0.0	60.0	Ld4	1.8	216.0	22.0	0.0	22.0	33.0	6.0	22.0	39.0	300.0	7.0	2.0	20.0	
