profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	57_T	Bv	25					3.7	sU - sandiger Schluff					stark humos (4-8%)		40.0	hoch (20 bis <40%)		mittel		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		6.0	40.0	Ld3	1.55	140.0	11.0	8.4	24.0	37.0	7.0	24.0	45.0	11.0	20.0	6.0	10.0	
361	57_T	IICv	70					3.7	sU - sandiger Schluff					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.0	80.0	Ld5	2.0	80.0	6.0	0.0	8.0	12.0	10.0	8.0	14.0	300.0	8.0	2.0	10.0	
361	57_T	Ah	10					3.7	sU - sandiger Schluff					stark humos (4-8%)		40.0	hoch (20 bis <40%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		6.0	40.0	Ld2	1.3	78.0	6.0	4.7	18.0	28.0	7.0	18.0	35.0	32.0	20.0	6.0	10.0	
361	57_T	BvCv	50					3.8	sU - sandiger Schluff					humusfrei (0%)		60.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.0	60.0	Ld5	2.0	200.0	15.0	0.0	21.0	31.0	3.0	21.0	34.0	300.0	8.0	2.0	20.0	
