profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	26_U	Ahb2	12					3.9	sU - sandiger Schluff					stark humos (4-8%)		10.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70																		6.0	10.0	Ld2	1.3	129.0	10.0	7.7	29.0	46.0	11.0	29.0	58.0	32.0	20.0	6.0	20.0	
361	26_U	Bv2	50					4.0	sU - sandiger Schluff					humusfrei (0%)		60.0	sehr hoch (40 bis <80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	70																		0.0	60.0	Ld5	2.0	160.0	12.0	0.0	17.0	25.0	2.0	17.0	27.0	300.0	8.0	4.0	20.0	
361	26_U	Ahb1	1					3.9	sU - sandiger Schluff					stark humos (4-8%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		6.0	0.0	Ld1	1.0	10.0	1.0	0.6	3.0	5.0	1.0	3.0	6.0	32.0	20.0	6.0	20.0	
361	26_U	Bv1	30					3.9	sU - sandiger Schluff					mittel humos (2-4%)		20.0	mäßig (10 bis <20%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	80																		3.0	20.0	Ld5	2.0	288.0	22.0	8.6	32.0	50.0	6.0	32.0	56.0	4.0	14.0	4.0	20.0	
