profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	43_T	AhBv	27					7.1	U - Schluff					stark humos (4-8%)		35.0	hoch (20 bis <40%)		locker		schwach kalkhaltig (0.5 bis <1.5%)		Kohärentgefüge	50																		6.0	35.0	Ld2	1.3	144.0	14.0	8.6	33.0	51.0	12.0	33.0	65.0	27.0	22.0	22.0	95.0	
361	43_T	IICv	100					7.5	sL - sandiger Lehm					humusfrei (0%)		90.0	vorwiegend (über 80%)		mittel		stark kalkhaltig (>5%)		Einzelkorn	50																		0.0	90.0	Ld3	1.55	70.0	14.0	0.0	8.0	15.0	11.0	8.0	18.0	300.0	13.0	13.0	100.0	
361	43_T	Ahb	10					6.8	U - Schluff					sehr stark humos (8-15%)		30.0	hoch (20 bis <40%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Krümel	70																		12.5	30.0	Ld1	1.0	70.0	7.0	8.8	21.0	34.0	10.0	21.0	33.0	300.0	35.0	32.0	90.0	
361	43_T	IIBvCv	55					7.7	sL - sandiger Lehm					humusfrei (0%)		70.0	sehr hoch (40 bis <80%)		mittel		stark kalkhaltig (>5%)		Einzelkorn	50																		0.0	70.0	Ld3	1.55	130.0	26.0	0.0	14.0	29.0	21.0	14.0	34.0	300.0	13.0	13.0	100.0	
