profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	36_U	Cv2	120					4.3	lS - lehmiger Sand					humusfrei (0%)		90.0	vorwiegend (über 80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		0.0	90.0	Ld4	1.8	18.0	2.0	0.0	2.0	3.0	3.0	2.0	3.0	300.0	7.0	4.0	30.0	
361	36_U	Bv1	30					3.9	sU - sandiger Schluff					mittel humos (2-4%)		20.0	mäßig (10 bis <20%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		3.0	20.0	Ld1	1.0	200.0	15.0	6.0	54.0	85.0	20.0	54.0	105.0	32.0	14.0	4.0	20.0	
361	36_U	BvCv2	70					4.1	lS - lehmiger Sand					humusfrei (0%)		70.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		0.0	70.0	Ld2	1.3	78.0	8.0	0.0	15.0	21.0	15.0	15.0	27.0	300.0	7.0	4.0	20.0	
361	36_U	Cv1	110					4.3	lS - lehmiger Sand					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		0.0	80.0	Ld4	1.8	144.0	14.0	0.0	14.0	22.0	20.0	14.0	26.0	300.0	7.0	4.0	30.0	
361	36_U	Ahe	5					4.8	uS - schluffiger Sand					sehr stark humos (8-15%)		5.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		12.5	5.0	Ld1	1.0	48.0	1.0	6.0	14.0	22.0	5.0	14.0	22.0	40.0	29.0	15.0	50.0	
361	36_U	BvCv1	50					4.0	lS - lehmiger Sand					schwach humos (1-2%)		50.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		1.5	50.0	Ld2	1.3	130.0	13.0	2.0	26.0	37.0	10.0	26.0	47.0	45.0	10.0	5.0	20.0	
