profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	32_U	Ahb2	15					4.7	sU - sandiger Schluff					stark humos (4-8%)		10.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		6.0	10.0	Ld2	1.3	117.0	9.0	7.0	27.0	42.0	10.0	27.0	53.0	32.0	20.0	10.0	40.0	
361	32_U	IIBvCv2	45					6.3	sU - sandiger Schluff					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		0.0	80.0	Ld4	1.8	83.0	6.0	0.0	10.0	14.0	12.0	10.0	16.0	300.0	8.0	7.0	80.0	
361	32_U	IICv1	75					6.3	uS - schluffiger Sand					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		0.0	80.0	Ld4	1.8	108.0	3.0	0.0	12.0	17.0	15.0	12.0	19.0	300.0	4.0	4.0	80.0	
361	32_U	Ahb1	5					6.4	sU - sandiger Schluff					sehr stark humos (8-15%)		2.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		12.5	2.0	Ld1	1.0	49.0	4.0	6.1	15.0	24.0	7.0	15.0	23.0	32.0	33.0	30.0	80.0	
361	32_U	BvCv1	22					6.1	sU - sandiger Schluff					stark humos (4-8%)		60.0	sehr hoch (40 bis <80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		6.0	60.0	Ld3	1.55	43.0	3.0	2.6	8.0	11.0	2.0	8.0	14.0	300.0	20.0	18.0	80.0	
