profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	44_T	Ahb2	20					7.4	sU - sandiger Schluff					sehr stark humos (8-15%)		30.0	hoch (20 bis <40%)		mittel		stark kalkhaltig (>5%)		Krümel	60																		12.5	30.0	Ld3	1.55	109.0	8.0	13.6	20.0	30.0	8.0	28.0	27.0	11.0	33.0	33.0	95.0	
361	44_T	Cv	60					7.3	sU - sandiger Schluff					humusfrei (0%)		95.0	vorwiegend (über 80%)		mittel		stark kalkhaltig (>5%)		Einzelkorn	100																		0.0	95.0	Ld3	1.55	16.0	1.0	0.0	2.0	3.0	3.0	5.0	4.0	300.0	8.0	8.0	95.0	
361	44_T	Ahb1	10					7.3	sU - sandiger Schluff					sehr stark humos (8-15%)		5.0	gering (0 bis <10%)		locker		stark kalkhaltig (>5%)		Krümel	60																		12.5	5.0	Ld2	1.3	124.0	9.0	15.5	29.0	47.0	13.0	42.0	45.0	300.0	33.0	33.0	95.0	
361	44_T	BvCv	40					7.4	sU - sandiger Schluff					stark humos (4-8%)		75.0	sehr hoch (40 bis <80%)		mittel		stark kalkhaltig (>5%)		Einzelkorn	100																		6.0	75.0	Ld3	1.55	78.0	6.0	4.7	14.0	21.0	13.0	27.0	25.0	300.0	20.0	20.0	95.0	
