profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	4_U	Arig2	40				X	7.4	sU - sandiger Schluff					stark humos (4-8%)		70.0	sehr hoch (40 bis <80%)		locker		stark kalkhaltig (>5%)		Krümel	70																		6.0	70.0	Ld2	1.3	78.0	6.0	4.7	18.0	28.0	15.0	18.0	35.0	300.0	20.0	20.0	95.0	
361	4_U	Arig1	20				X	7.3	sU - sandiger Schluff					stark humos (4-8%)		60.0	sehr hoch (40 bis <80%)		locker		stark kalkhaltig (>5%)		Krümel	80																		6.0	60.0	Ld2	1.3	104.0	8.0	6.2	24.0	37.0	9.0	24.0	47.0	300.0	20.0	20.0	95.0	
361	4_U	Cv	90				X	7.6	sU - sandiger Schluff					mittel humos (2-4%)		90.0	vorwiegend (über 80%)		locker		stark kalkhaltig (>5%)		Krümel	70																		3.0	90.0	Ld2	1.3	65.0	5.0	2.0	14.0	21.0	13.0	14.0	26.0	300.0	14.0	14.0	100.0	
