profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	22_U	AhCv	15					3.8	U - Schluff					sehr stark humos (8-15%)		70.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		12.5	70.0	Ld2	1.3	39.0	4.0	4.9	9.0	15.0	8.0	9.0	14.0	300.0	35.0	11.0	20.0	
361	22_U	Ahb	5					3.7	U - Schluff					sehr stark humos (8-15%)		2.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		12.5	2.0	Ld1	1.0	49.0	5.0	6.1	15.0	24.0	7.0	15.0	23.0	27.0	35.0	11.0	10.0	
361	22_U	(II)Cv	35					3.8	U - Schluff					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	90																		0.0	90.0	Ld2	1.3	26.0	3.0	0.0	5.0	8.0	5.0	5.0	10.0	300.0	10.0	3.0	20.0	
