profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	14_U	Ah	5					3.9	sU - sandiger Schluff					anmoorig bzw. äußerst humos (15-30%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70																		22.5	0.0	Ld1	1.0	50.0	4.0	11.3	19.0	28.0	3.0	19.0	37.0	32.0	53.0	16.0	20.0	
361	14_U	Bv1	20					4.1	sU - sandiger Schluff					stark humos (4-8%)		2.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		6.0	2.0	Ld1	1.0	147.0	11.0	8.8	43.0	68.0	16.0	43.0	87.0	32.0	20.0	10.0	20.0	
361	14_U	Bv2	40					4.1	sU - sandiger Schluff					mittel humos (2-4%)		2.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	100																		3.0	2.0	Ld1	1.0	196.0	15.0	5.9	53.0	83.0	20.0	53.0	103.0	300.0	14.0	7.0	20.0	
361	14_U	Bv3	55					4.1	sU - sandiger Schluff					schwach humos (1-2%)		25.0	hoch (20 bis <40%)		locker		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	100																		1.5	25.0	Ld2	1.3	146.0	11.0	2.2	30.0	46.0	10.0	30.0	56.0	300.0	11.0	6.0	20.0	
361	14_U	(II)BvCv	80					4.0	lS - lehmiger Sand					schwach humos (1-2%)		80.0	sehr hoch (40 bis <80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	95																		1.5	80.0	Ld3	1.55	78.0	8.0	1.2	11.0	16.0	13.0	11.0	20.0	300.0	10.0	5.0	20.0	
