profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
365	58_T	Cv1	15					4.4	lS - lehmiger Sand					mittel humos (2-4%)		70.0	sehr hoch (40 bis <80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70																		3.0	70.0	Ld3	1.55	65.0	7.0	2.0	9.0	14.0	11.0	9.0	18.0	300.0	13.0	7.0	30.0	
365	58_T	Ai	1					4.4	lS - lehmiger Sand					mittel humos (2-4%)		0.0	kein (0%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70																		3.0	0.0	Ld2	1.3	13.0	1.0	0.4	3.0	4.0	1.0	3.0	5.0	45.0	13.0	7.0	30.0	
365	58_T	Cv2						4.1	lS - lehmiger Sand					humusfrei (0%)		90.0	vorwiegend (über 80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		0.0	90.0	Ld3	1.55	-2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	300.0	7.0	4.0	20.0	
