profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	2_U	Bv1	32					3.9	sL - sandiger Lehm					humusfrei (0%)		25.0	hoch (20 bis <40%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.0	25.0	Ld2	1.3	283.0	57.0	0.0	48.0	89.0	18.0	66.0	108.0	32.0	13.0	4.0	20.0	
361	2_U	Ahi	3					3.7	sL - sandiger Lehm					stark humos (4-8%)		25.0	hoch (20 bis <40%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		6.0	25.0	Ld1	1.0	23.0	5.0	1.4	6.0	11.0	3.0	9.0	14.0	32.0	25.0	8.0	10.0	
361	2_U	Bv2	65					4.0	sL - sandiger Lehm					humusfrei (0%)		40.0	hoch (20 bis <40%)		dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.0	40.0	Ld4	1.8	356.0	71.0	0.0	29.0	60.0	10.0	39.0	70.0	8.0	13.0	7.0	20.0	
