profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	31_U	BvCv1	25					4.0	sU - sandiger Schluff					mittel humos (2-4%)		80.0	sehr hoch (40 bis <80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	90																		3.0	80.0	Ld3	1.55	62.0	5.0	1.9	10.0	15.0	10.0	20.0	18.0	300.0	14.0	7.0	20.0	
361	31_U	BvCv3	72					4.0	uS - schluffiger Sand					humusfrei (0%)		2.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	90																		0.0	2.0	Ld2	1.3	255.0	6.0	0.0	51.0	71.0	19.0	70.0	89.0	40.0	4.0	2.0	20.0	
361	31_U	Ah	5					3.7	sU - sandiger Schluff					stark humos (4-8%)		2.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	90																		6.0	2.0	Ld2	1.3	64.0	5.0	3.8	14.0	23.0	5.0	19.0	29.0	32.0	20.0	6.0	10.0	
361	31_U	BvCv2	52					4.1	sU - sandiger Schluff					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		0.0	80.0	Ld2	1.3	70.0	5.0	0.0	14.0	21.0	14.0	28.0	26.0	300.0	8.0	4.0	20.0	
