profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	30_U	Bv1	20					3.9	sU - sandiger Schluff					humusfrei (0%)		30.0	hoch (20 bis <40%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		0.0	30.0	Ld2	1.3	137.0	10.0	0.0	27.0	41.0	9.0	27.0	50.0	32.0	8.0	2.0	20.0	
361	30_U	IIBvCv2	65					4.2	sU - sandiger Schluff					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		0.0	80.0	Ld2	1.3	52.0	4.0	0.0	10.0	16.0	10.0	10.0	19.0	300.0	8.0	4.0	30.0	
361	30_U	IIBvCv3	95					4.0	sU - sandiger Schluff					humusfrei (0%)		70.0	sehr hoch (40 bis <80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	70																		0.0	70.0	Ld3	1.55	140.0	11.0	0.0	21.0	30.0	23.0	21.0	35.0	300.0	8.0	4.0	20.0	
361	30_U	Ahe	5					3.7	sU - sandiger Schluff					sehr stark humos (8-15%)		5.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	90																		12.5	5.0	Ld1	1.0	48.0	4.0	6.0	14.0	23.0	7.0	14.0	23.0	32.0	33.0	10.0	10.0	
361	30_U	BvCv1	45					4.0	sU - sandiger Schluff					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		0.0	80.0	Ld2	1.3	65.0	5.0	0.0	13.0	20.0	13.0	13.0	24.0	300.0	8.0	4.0	20.0	
