profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	16_U	Bv1	30					3.6	uS - schluffiger Sand					stark humos (4-8%)		2.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		6.0	2.0	Ld2	1.3	255.0	6.0	15.3	57.0	85.0	17.0	57.0	102.0	40.0	16.0	5.0	10.0	
361	16_U	(II)BvCv1	75					4.0	uS - schluffiger Sand					mittel humos (2-4%)		10.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		3.0	10.0	Ld2	1.3	293.0	7.0	8.8	61.0	89.0	19.0	61.0	108.0	40.0	10.0	5.0	20.0	
361	16_U	IIIBvCv2	100					3.8	lS - lehmiger Sand					schwach humos (1-2%)		2.0	gering (0 bis <10%)		dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		1.5	2.0	Ld4	1.8	441.0	44.0	6.6	45.0	71.0	12.0	45.0	83.0	11.0	10.0	3.0	20.0	
361	16_U	Ahe	10					3.8	uS - schluffiger Sand					stark humos (4-8%)		2.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		6.0	2.0	Ld2	1.3	127.0	3.0	7.6	28.0	43.0	8.0	28.0	51.0	40.0	16.0	5.0	20.0	
361	16_U	Bv2	50					3.8	lS - lehmiger Sand					schwach humos (1-2%)		5.0	gering (0 bis <10%)		locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		1.5	5.0	Ld2	1.3	247.0	25.0	3.7	48.0	70.0	19.0	48.0	89.0	45.0	10.0	3.0	20.0	
