profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	29_U	Bv1	25					4.0	sU - sandiger Schluff					mittel humos (2-4%)		40.0	hoch (20 bis <40%)		locker		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	80																		3.0	40.0	Ld2	1.3	156.0	12.0	4.7	32.0	51.0	12.0	32.0	63.0	300.0	14.0	7.0	20.0	
361	29_U	IIBvCv1	80					3.9	sU - sandiger Schluff					humusfrei (0%)		90.0	vorwiegend (über 80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	100																		0.0	90.0	Ld3	1.55	39.0	3.0	0.0	6.0	8.0	6.0	6.0	10.0	300.0	8.0	2.0	20.0	
361	29_U	IIBvCv2	90					4.1	sU - sandiger Schluff					humusfrei (0%)		90.0	vorwiegend (über 80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	100																		0.0	90.0	Ld3	1.55	16.0	1.0	0.0	2.0	3.0	3.0	2.0	4.0	300.0	8.0	4.0	20.0	
361	29_U	Ahb	5					4.9	sU - sandiger Schluff					sehr stark humos (8-15%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		12.5	0.0	Ld1	1.0	50.0	4.0	6.3	15.0	25.0	7.0	15.0	24.0	32.0	33.0	17.0	50.0	
361	29_U	Bv2	55					3.9	sU - sandiger Schluff					humusfrei (0%)		50.0	sehr hoch (40 bis <80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	100																		0.0	50.0	Ld3	1.55	233.0	17.0	0.0	35.0	50.0	8.0	35.0	58.0	11.0	8.0	2.0	20.0	
