profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	42_U	Bv	15					4.0	sU - sandiger Schluff					humusfrei (0%)		15.0	mäßig (10 bis <20%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		0.0	15.0	Ld3	1.55	171.0	13.0	0.0	26.0	37.0	6.0	32.0	43.0	11.0	8.0	4.0	20.0	
361	42_U	BvCv2	60					4.2	uS - schluffiger Sand					humusfrei (0%)		70.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		0.0	70.0	Ld4	1.8	162.0	4.0	0.0	18.0	25.0	23.0	41.0	29.0	300.0	4.0	2.0	30.0	
361	42_U	IICuv	75					4.2	lS - lehmiger Sand					humusfrei (0%)		90.0	vorwiegend (über 80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		0.0	90.0	Ld5	2.0	30.0	3.0	0.0	3.0	4.0	4.0	7.0	5.0	300.0	7.0	4.0	30.0	
361	42_U	Ahe	2					3.9	uS - schluffiger Sand					anmoorig bzw. äußerst humos (15-30%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	90																		22.5	0.0	Ld1	1.0	20.0	1.0	4.5	7.0	11.0	1.0	8.0	15.0	40.0	49.0	15.0	20.0	
361	42_U	BvCv1	30					4.1	sU - sandiger Schluff					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		0.0	80.0	Ld4	1.8	54.0	4.0	0.0	6.0	9.0	8.0	14.0	10.0	300.0	8.0	4.0	20.0	
