profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	50_T	Bv	20					4.0	sU - sandiger Schluff					stark humos (4-8%)		5.0	gering (0 bis <10%)		sehr locker		schwach kalkhaltig (0.5 bis <1.5%)		Einzelkorn	100																		6.0	5.0	Ld1	1.0	171.0	13.0	10.3	50.0	80.0	19.0	50.0	101.0	32.0	20.0	10.0	20.0	
361	50_T	(II)Cv	50					4.4	sU - sandiger Schluff					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		0.0	80.0	Ld3	1.55	31.0	2.0	0.0	5.0	7.0	5.0	5.0	8.0	300.0	8.0	4.0	30.0	
361	50_T	IIICu	65					6.7	lU - lehmiger Schluff					humusfrei (0%)		90.0	vorwiegend (über 80%)		mittel		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		0.0	90.0	Ld3	1.55	23.0	5.0	0.0	3.0	5.0	4.0	3.0	6.0	300.0	14.0	13.0	90.0	
361	50_T	Ahb	2					4.8	sU - sandiger Schluff					sehr stark humos (8-15%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	100																		12.5	0.0	Ld1	1.0	20.0	2.0	2.5	6.0	10.0	3.0	6.0	10.0	32.0	33.0	17.0	50.0	
361	50_T	BvCv	40					4.2	sU - sandiger Schluff					humusfrei (0%)		15.0	mäßig (10 bis <20%)		mittel		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.0	15.0	Ld3	1.55	264.0	20.0	0.0	40.0	57.0	9.0	40.0	66.0	11.0	8.0	4.0	30.0	
