profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	33_U	Ahb2	15					3.7	sU - sandiger Schluff					stark humos (4-8%)		10.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		6.0	10.0	Ld1	1.0	117.0	9.0	7.0	35.0	54.0	13.0	35.0	69.0	32.0	20.0	6.0	10.0	
361	33_U	(II)Cv	45					3.9	sU - sandiger Schluff					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	95																		0.0	90.0	Ld2	1.3	26.0	2.0	0.0	5.0	8.0	5.0	5.0	10.0	300.0	8.0	2.0	20.0	
361	33_U	Ahb1	2					3.7	sU - sandiger Schluff					sehr stark humos (8-15%)		2.0	gering (0 bis <10%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	80																		12.5	2.0	Ld1	1.0	20.0	2.0	2.5	6.0	10.0	3.0	6.0	9.0	32.0	33.0	10.0	10.0	
361	33_U	(II)BvCv	25					3.7	sU - sandiger Schluff					humusfrei (0%)		50.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	70																		0.0	50.0	Ld2	1.3	65.0	5.0	0.0	13.0	20.0	4.0	13.0	24.0	300.0	8.0	2.0	10.0	
