profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	24_U	P	35					4.2	uL - schluffiger Lehm					mittel humos (2-4%)		0.0	kein (0%)		mittel		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		3.0	0.0	Ld3	1.55	419.0	126.0	12.6	47.0	115.0	19.0	66.0	134.0	19.0	24.0	12.0	30.0	
361	24_U	BvCv2	100					4.5	uL - schluffiger Lehm					schwach humos (1-2%)		0.0	kein (0%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		1.5	0.0	Ld5	2.0	900.0	270.0	13.5	58.0	164.0	20.0	78.0	185.0	7.0	21.0	11.0	40.0	
361	24_U	Ah	8					4.1	sL - sandiger Lehm					sehr stark humos (8-15%)		0.0	kein (0%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Krümel	100																		12.5	0.0	Ld1	1.0	80.0	16.0	10.0	23.0	44.0	11.0	34.0	40.0	300.0	38.0	19.0	20.0	
361	24_U	BvCv1	55					4.0	uL - schluffiger Lehm					mittel humos (2-4%)		0.0	kein (0%)		dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		3.0	0.0	Ld4	1.8	360.0	108.0	10.8	28.0	76.0	11.0	39.0	87.0	7.0	24.0	12.0	20.0	
