profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	56_T	Bv	25					5.1	sU - sandiger Schluff					mittel humos (2-4%)		30.0	hoch (20 bis <40%)		dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		3.0	30.0	Ld4	1.8	277.0	21.0	8.3	34.0	53.0	7.0	34.0	60.0	4.0	14.0	10.0	60.0	
361	56_T	IICv	60					6.7	sL - sandiger Lehm					humusfrei (0%)		90.0	vorwiegend (über 80%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		0.0	90.0	Ld5	2.0	40.0	8.0	0.0	3.0	6.0	5.0	3.0	7.0	300.0	13.0	12.0	90.0	
361	56_T	Ahb	3					5.6	sU - sandiger Schluff					sehr stark humos (8-15%)		30.0	hoch (20 bis <40%)		locker		schwach kalkhaltig (0.5 bis <1.5%)		Einzelkorn	50																		12.5	30.0	Ld2	1.3	27.0	2.0	3.4	6.0	10.0	3.0	6.0	10.0	32.0	33.0	23.0	70.0	
361	56_T	IIBvCv	40					6.1	sL - sandiger Lehm					humusfrei (0%)		40.0	hoch (20 bis <40%)		sehr dicht		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.0	40.0	Ld5	2.0	180.0	36.0	0.0	13.0	27.0	5.0	13.0	32.0	8.0	13.0	12.0	80.0	
