profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	9_U	IIAhbCv	30					5.8	sU - sandiger Schluff					stark humos (4-8%)		70.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	60																		6.0	70.0	Ld2	1.3	78.0	6.0	4.7	18.0	28.0	15.0	18.0	35.0	300.0	20.0	14.0	70.0	
361	9_U	IIICv2	75					5.2	sL - sandiger Lehm					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	90																		0.0	90.0	Ld2	1.3	26.0	5.0	0.0	4.0	8.0	5.0	4.0	10.0	300.0	13.0	9.0	60.0	
361	9_U	Ahb	10					6.4	sU - sandiger Schluff					sehr stark humos (8-15%)		40.0	hoch (20 bis <40%)		locker		schwach kalkhaltig (0.5 bis <1.5%)		Einzelkorn	80																		12.5	40.0	Ld2	1.3	78.0	6.0	9.8	18.0	29.0	8.0	18.0	29.0	32.0	33.0	30.0	80.0	
361	9_U	IICv1	55					5.6	sU - sandiger Schluff					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	60																		0.0	90.0	Ld2	1.3	33.0	2.0	0.0	7.0	10.0	6.0	7.0	12.0	300.0	8.0	6.0	70.0	
