profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	12_U	Ahb2	52					7.4	U - Schluff					stark humos (4-8%)		2.0	gering (0 bis <10%)		sehr locker		stark kalkhaltig (>5%)		Einzelkorn	70																		6.0	2.0	Ld1	1.0	333.0	33.0	20.0	98.0	155.0	37.0	98.0	197.0	27.0	22.0	22.0	95.0	
361	12_U	Ahb1	18					7.3	U - Schluff					sehr stark humos (8-15%)		2.0	gering (0 bis <10%)		sehr locker		stark kalkhaltig (>5%)		Einzelkorn	50																		12.5	2.0	Ld1	1.0	176.0	18.0	22.0	54.0	86.0	25.0	54.0	84.0	27.0	35.0	35.0	95.0	
361	12_U	IICu	95					7.5	uL - schluffiger Lehm					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		stark kalkhaltig (>5%)		Kohärentgefüge	100																		0.0	90.0	Ld2	1.3	56.0	17.0	0.0	9.0	20.0	11.0	9.0	23.0	300.0	18.0	18.0	100.0	
