profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	46_T	Bv1	25					4.2	sU - sandiger Schluff					stark humos (4-8%)		25.0	hoch (20 bis <40%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		6.0	25.0	Ld1	1.0	165.0	12.0	9.9	49.0	77.0	18.0	49.0	97.0	32.0	20.0	10.0	30.0	
361	46_T	BvCv	70					4.0	sU - sandiger Schluff					humusfrei (0%)		70.0	sehr hoch (40 bis <80%)		locker		kalkfrei bis kalkarm (<0.5%)		Subpolyeder	70																		0.0	70.0	Ld2	1.3	98.0	7.0	0.0	20.0	29.0	19.0	20.0	36.0	300.0	8.0	4.0	20.0	
361	46_T	Ah	3					4.2	sU - sandiger Schluff					sehr stark humos (8-15%)		25.0	hoch (20 bis <40%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Einzelkorn	50																		12.5	25.0	Ld1	1.0	23.0	2.0	2.9	7.0	11.0	3.0	7.0	11.0	32.0	33.0	17.0	30.0	
361	46_T	Bv2	45					4.0	sU - sandiger Schluff					humusfrei (0%)		25.0	hoch (20 bis <40%)		sehr locker		kalkfrei bis kalkarm (<0.5%)		Kohärentgefüge	100																		0.0	25.0	Ld1	1.0	150.0	11.0	0.0	39.0	58.0	13.0	39.0	71.0	32.0	8.0	4.0	20.0	
