profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	52_T	AhCv	25					7.6	uL - schluffiger Lehm					sehr stark humos (8-15%)		85.0	vorwiegend (über 80%)		mittel		stark kalkhaltig (>5%)		Subpolyeder	70																		12.5	85.0	Ld3	1.55	23.0	7.0	2.9	3.0	8.0	4.0	3.0	7.0	300.0	43.0	43.0	100.0	
361	52_T	Ahb	15					7.1	sU - sandiger Schluff					anmoorig bzw. äußerst humos (15-30%)		60.0	sehr hoch (40 bis <80%)		locker		schwach kalkhaltig (0.5 bis <1.5%)		Einzelkorn	50																		22.5	60.0	Ld2	1.3	78.0	6.0	17.6	22.0	34.0	4.0	22.0	44.0	300.0	53.0	53.0	95.0	
361	52_T	Cv	35					7.7	uL - schluffiger Lehm					humusfrei (0%)		95.0	vorwiegend (über 80%)		mittel		stark kalkhaltig (>5%)		Einzelkorn	100																		0.0	95.0	Ld3	1.55	8.0	2.0	0.0	1.0	2.0	1.0	1.0	2.0	300.0	18.0	18.0	100.0	
