profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
361	18_U	Cv1	40					7.4	uS - schluffiger Sand					humusfrei (0%)		80.0	sehr hoch (40 bis <80%)		locker		stark kalkhaltig (>5%)		Einzelkorn	100																		0.0	80.0	Ld2	1.3	52.0	1.0	0.0	10.0	14.0	10.0	10.0	18.0	300.0	4.0	4.0	95.0	
361	18_U	Cu	55					7.5	uS - schluffiger Sand					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		stark kalkhaltig (>5%)		Einzelkorn	100																		0.0	90.0	Ld2	1.3	7.0	0.0	0.0	1.0	2.0	1.0	1.0	2.0	300.0	4.0	4.0	100.0	
361	18_U	Ahb	20					7.1	uS - schluffiger Sand					sehr stark humos (8-15%)		70.0	sehr hoch (40 bis <80%)		locker		stark kalkhaltig (>5%)		Einzelkorn	100																		12.5	70.0	Ld2	1.3	78.0	2.0	9.8	18.0	28.0	15.0	18.0	27.0	300.0	29.0	29.0	95.0	
361	18_U	Cv2	50					7.5	uS - schluffiger Sand					humusfrei (0%)		90.0	vorwiegend (über 80%)		locker		stark kalkhaltig (>5%)		Einzelkorn	100																		0.0	90.0	Ld2	1.3	13.0	0.0	0.0	3.0	4.0	3.0	3.0	5.0	300.0	4.0	4.0	100.0	
