profil	profilnummer	bezeichnung	tiefe	uebergang_cm	uebergang_form	art	umlagerung	ph_wert	bodenart	farbe_munsell	farbe_sonst	feinwurzeln	grobwurzeln	humus_klasse	humus_wert	skelett_wert	skelett_klasse	dichte_wert	dichte_klasse	carbonat_wert	carbonat_klasse	porositaet	gefuege1	gefuege1_anteil	gefuege2	gefuege2_anteil	fleckenzahl	fleckenart	konkretionen	artefakte	kommentar	bodenartlabor	ton	schluff	sand	sand_fein	sand_mittel	sand_grob	phmethode	fleckung	evaluate	Px01_Hu	Px02_Sk	Px03_Ld	Px03a_LdZ	Px04_FB	Px05_TM	Px06_HM	Px07_nFK	Px08_FK	Px09_LK	Px10_WSV	Px11_GPV	Px12_kf	Px13_KAKpot	Px14_KAKeff	Px15_Mb	
382	3	Ap1	15					7.19	sL - sandiger Lehm						4.82		gering (0 bis <10%)		mittel	11.0			Subpolyeder	100									23.0	52.0	25.0							4.82	5.0	Ld3	1.55	221.0	5083.0	10.7	30.0	63.0	14.0	44.0	58.0	16.0	24.0	24.0	95.0	
382	3	Ap2	45					7.39	lU - lehmiger Schluff						1.94		gering (0 bis <10%)		dicht	11.0			Prismen	100									24.0	59.0	17.0							1.94	5.0	Ld4	1.8	513.0	12312.0	10.0	50.0	101.0	11.0	61.0	104.0	5.0	19.0	19.0	95.0	
382	3	Abb	90					7.46	L - Lehm						1.05		gering (0 bis <10%)		dicht	22.0			Prismen	100									37.0	54.0	9.0							1.05	5.0	Ld4	1.8	770.0	28490.0	8.1	51.0	160.0	17.0	68.0	165.0	5.0	23.0	23.0	95.0	
382	3	Bb	220					7.61	uL - schluffiger Lehm						0.51		gering (0 bis <10%)		dicht	53.0			Prismen	100									29.0	70.0	1.0							0.51	5.0	Ld4	1.8	2223.0	64467.0	11.3	154.0	420.0	49.0	203.0	469.0	7.0	19.0	19.0	100.0	
383	4	Ap1	55					7.36	lU - lehmiger Schluff						2.53		mäßig (10 bis <20%)		locker	38.0			Subpolyeder	100									22.0	55.0	23.0							2.53	15.0	Ld2	1.3	608.0	13376.0	15.4	110.0	213.0	44.0	154.0	231.0	300.0	19.0	19.0	95.0	
383	4	Ap2	75					7.46	lU - lehmiger Schluff						2.2		mäßig (10 bis <20%)		mittel	39.0			Subpolyeder	100									22.0	56.0	22.0							2.2	15.0	Ld3	1.55	264.0	5808.0	5.8	35.0	68.0	13.0	48.0	71.0	14.0	18.0	18.0	95.0	
383	4	Bb	160					7.53	L - Lehm						1.3		hoch (20 bis <40%)		mittel	22.0			Subpolyeder	100									29.0	54.0	17.0							1.3	30.0	Ld3	1.55	922.0	26738.0	12.0	95.0	250.0	33.0	128.0	265.0	12.0	20.0	20.0	100.0	
383	4	BC	305					7.85	sU - sandiger Schluff						0.34		gering (0 bis <10%)		dicht	64.0			Prismen	100									14.0	73.0	13.0							0.34	5.0	Ld4	1.8	2480.0	34720.0	8.4	289.0	427.0	41.0	330.0	468.0	4.0	11.0	11.0	100.0	
384	5	Ap1	25					7.37	L - Lehm						2.48		mäßig (10 bis <20%)		locker	23.0			Subpolyeder	100									25.0	48.0	27.0							2.48	15.0	Ld2	1.3	276.0	6900.0	6.8	44.0	112.0	18.0	44.0	118.0	300.0	20.0	20.0	95.0	
384	5	Ap2	60					7.42	sL - sandiger Lehm						2.17		mäßig (10 bis <20%)		mittel	27.0			Polyeder	100									23.0	49.0	28.0							2.17	15.0	Ld3	1.55	461.0	10603.0	10.0	55.0	113.0	24.0	55.0	120.0	16.0	18.0	18.0	95.0	
384	5	B1	96					7.46	sL - sandiger Lehm						1.65		hoch (20 bis <40%)		dicht	20.0			Polyeder	100									24.0	47.0	29.0							1.65	30.0	Ld4	1.8	454.0	10896.0	7.5	38.0	83.0	14.0	38.0	89.0	8.0	18.0	18.0	95.0	
384	5	B2	130					7.49	sL - sandiger Lehm						1.34		hoch (20 bis <40%)		dicht	28.0			Polyeder	100									22.0	45.0	33.0							1.34	30.0	Ld4	1.8	428.0	9416.0	5.7	36.0	79.0	13.0	36.0	84.0	8.0	16.0	16.0	95.0	
385	6	Ap1	16					7.2	sL - sandiger Lehm						5.93		mäßig (10 bis <20%)		locker	26.0			Subpolyeder	100									22.0	45.0	33.0							5.93	15.0	Ld2	1.3	177.0	3894.0	10.5	35.0	69.0	16.0	35.0	67.0	300.0	25.0	25.0	95.0	
385	6	Ap2	35					7.22	sL - sandiger Lehm						3.44		hoch (20 bis <40%)		mittel	26.0			Polyeder	100									23.0	44.0	33.0							3.44	30.0	Ld3	1.55	206.0	4738.0	7.1	25.0	51.0	11.0	25.0	54.0	16.0	21.0	21.0	95.0	
