profilnummer	datum	kartierer	rechtswert	hochwert	seehoehe	exposition_wert	exposition_klasse	neigungmakro	neigungmikro	hangneigung	gruendigkeit_wert	gruendigkeit_klasse	entwicklungstiefe	profillaenge	profilbreite	hoehenstufe	witterung	makrorelief	mesorelief	woelbung	woelbungsstaerke	mikrorelief	mikrorelief_b	geologietext	ausgangsmaterial	abzufluss	flurabstand	grundwasser	hangwasser	hangwasser_b	stauwasser	grundstauwasser	oekofeuchte	lateralfliess	ol_maecht	ol_lagerung	of_maecht	of_lagerung	oh_maecht	oh_lagerung	m_maecht	torf_zersetzung	torf_holz	torf_moos	torf_kraut	torf_minerogen	organik_text	humusform	anthropogen	basenreichtum	karbonatgehalt	locker_stein	locker_kies_grob	locker_kies_fein	locker_feinerde	landnutzung	landnutzung_text	vegetation	vegetation_text	verdichtung	gefaehrdung	bodentyp_text	bodentyp_oe	versiegelungsgrad	vegetationsgrad	vegfrei	moosschicht	krautschicht	strauchschicht	baumschicht	fels	bloeckesteine	offenerboden	naturarchiv	kulturarchiv	drainage	bewaesserung	erosionsschutz	erosionsgrad	erosionsausmass	wurzeln10	wurzeln20	wurzeln30	wurzeln40	wurzeln50	durchgaengigkeit	matrixaustausch	zeigerarten	sonstige	bodentyp	erosion	koernigkeit	horizonte	organik	wurzel	Sx01_FBges	Sx02_TMges	Sx03_HMges	Sx04_nFKges	Sx04a_nFKwe	Sx05_FKges	Sx05a_FKwe	Sx06_LKges	Sx06a_LKwe	Sx07_LKoben	Sx08_WSVges	Sx09_WSVwe	Sx10_kfmin	Sx11_kfave	Sx12_We	Sx13_KAKges	Sx14_KAKWe	Sx15_MbWe	Leben_Tr	Leben_Fe	Leben_Org	Leben_Kult	Retent_ave	Retent_min	Retent_stark	GWneu	Naehrstoff	CO2_Senke	FiltPuff	Transform	FiltPuff_Org	FiltPuff_Nit	Puff_sauer	Arc_Nat	Arc_Kult	dateeval	template	templatename	
40			11.0	46.0					0	LW-eben	85					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														599|600|601|602|603			1547.0	10684.0	11.0	243.0	180.0	353.0	263.0	143.0	69.0	36.0	386.0	249.0	20.0	55.0	85	9469.0	8401.0	8111.0	4	3	2	4	1	2	1	2	1	4	1	3	5	1	1	5	5	2017-12-16			
41			11.0	46.0					8	LW-leicht hängig	150					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														604|605|606|607|608			2074.0	20244.0	12.0	293.0	275.0	427.0	401.0	107.0	101.0	107.0	293.0	275.0	20.0	22.0	150	10662.0	10135.0	6628.0	5	2	2	4	2	2	1	2	1	4	2	3	5	1	3	5	5	2017-12-16			
42			11.0	46.0					0	LW-eben	150					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonathaltige Braunerde																														609|610|611|612			2181.0	51551.0	25.0	242.0	242.0	563.0	563.0	85.0	85.0	26.0	327.0	327.0	12.0	15.0	150	36700.0	36700.0	35572.0	5	2	1	4	3	3	2	1	1	3	1	2	5	1	1	5	5	2017-12-16			
43			11.0	46.0					5	LW-schwach geneigt	110					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														613|614|615			1561.0	15142.0	17.0	217.0	217.0	323.0	323.0	79.0	79.0	79.0	296.0	296.0	20.0	20.0	110	13860.0	13860.0	13651.0	4	3	2	4	2	2	1	2	1	4	1	2	5	1	1	5	5	2017-12-16			
44			11.0	46.0					17	LW-hängig	120					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														616|617|618			987.0	7250.0	14.0	173.0	173.0	251.0	251.0	67.0	67.0	50.0	173.0	173.0	45.0	109.0	120	6259.0	6259.0	6521.0	4	3	2	5	1	2	1	5	1	4	2	3	5	2	1	5	5	2017-12-16			
45			11.0	46.0					4	LW-schwach geneigt	160					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														619|620|621|622			1550.0	22249.0	10.0	201.0	201.0	348.0	348.0	77.0	77.0	57.0	278.0	278.0	16.0	20.0	160	13603.0	13603.0	11115.0	4	3	1	4	2	2	1	2	1	4	1	3	5	1	2	5	5	2017-12-16			
46			11.0	46.0					0	LW-eben	130					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														623|624|625			1783.0	33198.0	34.0	252.0	252.0	494.0	494.0	102.0	102.0	58.0	354.0	354.0	16.0	27.0	130	24840.0	24840.0	20409.0	5	2	1	4	2	2	1	2	1	3	1	1	5	1	2	5	5	2017-12-16			
47			11.0	46.0					6	LW-leicht hängig	150					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														626|627|628|629			1976.0	21803.0	13.0	272.0	272.0	401.0	401.0	97.0	97.0	97.0	272.0	272.0	20.0	20.0	150	14240.0	14240.0	12943.0	5	2	2	4	2	2	1	2	1	4	1	3	5	1	2	5	5	2017-12-16			
48			11.0	46.0					5	LW-schwach geneigt	120					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonatfreie Braunerde																														630|631|632			789.0	5605.0	13.0	113.0	113.0	168.0	168.0	81.0	81.0	26.0	194.0	194.0	20.0	70.0	120	5380.0	5380.0	4871.0	4	4	2	4	2	3	1	3	3	4	3	3	5	3	3	5	5	2017-12-16			
49			11.0	46.0					5	LW-schwach geneigt	80					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														633|634|635|636			956.0	18139.0	3.0	115.0	109.0	226.0	209.0	43.0	41.0	43.0	158.0	150.0	12.0	23.0	80	11606.0	10220.0	10134.0	4	4	1	4	3	4	1	1	1	5	3	3	5	2	1	5	5	2017-12-16			
50			11.0	46.0					6	LW-leicht hängig	110					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														637|638|639			658.0	14157.0	21.0	110.0	110.0	215.0	215.0	46.0	46.0	46.0	110.0	110.0	300.0	300.0	110	12759.0	12759.0	12234.0	4	4	1	4	1	1	1	5	1	3	3	2	5	2	1	5	5	2017-12-16			
51			11.0	46.0					6	LW-leicht hängig	120					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonathaltige Braunerde																														640|641|642|643|644			1210.0	11639.0	14.0	192.0	192.0	282.0	282.0	90.0	90.0	90.0	192.0	192.0	20.0	51.0	120	10241.0	10241.0	10067.0	4	3	2	4	2	3	1	3	1	4	1	3	5	1	1	5	5	2017-12-16			
52			11.0	46.0					8	LW-leicht hängig	135					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														645|646|647			1952.0	31783.0	24.0	229.0	229.0	463.0	463.0	90.0	90.0	90.0	229.0	229.0	16.0	18.0	135	21732.0	21732.0	21038.0	5	2	1	4	2	2	1	2	1	3	1	2	5	1	2	5	5	2017-12-16			
53			11.0	46.0					0	LW-eben	130					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonatfreie Braunerde																														648|649			766.0	26602.0	12.0	91.0	91.0	223.0	223.0	34.0	34.0	34.0	125.0	125.0	300.0	300.0	130	16152.0	16152.0	16103.0	4	4	1	4	1	1	1	5	1	4	3	3	5	2	2	5	5	2017-12-16			
54			11.0	46.0					4	LW-schwach geneigt	150					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonathaltige Braunerde																														650|651|652			1976.0	33412.0	50.0	265.0	265.0	485.0	485.0	104.0	104.0	72.0	369.0	369.0	14.0	17.0	150	30344.0	30344.0	28990.0	5	2	1	4	2	3	1	1	1	2	1	1	4	1	1	5	5	2017-12-16			
55			11.0	46.0					8	LW-leicht hängig	125					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														653|654|655			770.0	5560.0	4.0	193.0	193.0	276.0	276.0	77.0	77.0	77.0	193.0	193.0	300.0	300.0	125	3420.0	3420.0	2718.0	4	3	2	3	1	1	1	5	5	5	3	3	5	2	3	5	5	2017-12-16			
56			11.0	46.0					10	LW-leicht hängig	110					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														656|657			1226.0	15160.0	21.0	199.0	199.0	296.0	296.0	79.0	79.0	40.0	199.0	199.0	20.0	38.0	110	12207.0	12207.0	11814.0	4	3	2	4	2	3	1	3	1	3	1	2	5	1	1	5	5	2017-12-16			
57			11.0	46.0					10	LW-leicht hängig	125					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														658|659			1138.0	10032.0	30.0	148.0	148.0	228.0	228.0	89.0	89.0	42.0	148.0	148.0	20.0	44.0	125	12772.0	12772.0	12224.0	4	3	2	4	2	3	1	3	1	3	2	1	5	2	1	5	5	2017-12-16			
58			11.0	46.0					8	LW-leicht hängig	120					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														660|661|662			1270.0	16948.0	17.0	189.0	182.0	283.0	272.0	72.0	69.0	72.0	189.0	182.0	20.0	29.0	120	10535.0	10101.0	8725.0	4	3	2	4	3	3	1	3	1	4	2	2	5	1	2	5	5	2017-12-16			
59			11.0	46.0					5	LW-schwach geneigt	105					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														663|664|665			1397.0	19664.0	33.0	186.0	186.0	333.0	333.0	109.0	109.0	45.0	295.0	295.0	16.0	23.0	105	18345.0	18345.0	17609.0	4	3	1	4	2	2	1	2	1	3	1	1	5	1	1	5	5	2017-12-16			
