profilnummer	datum	kartierer	rechtswert	hochwert	seehoehe	exposition_wert	exposition_klasse	neigungmakro	neigungmikro	hangneigung	gruendigkeit_wert	gruendigkeit_klasse	entwicklungstiefe	profillaenge	profilbreite	hoehenstufe	witterung	makrorelief	mesorelief	woelbung	woelbungsstaerke	mikrorelief	mikrorelief_b	geologietext	ausgangsmaterial	abzufluss	flurabstand	grundwasser	hangwasser	hangwasser_b	stauwasser	grundstauwasser	oekofeuchte	lateralfliess	ol_maecht	ol_lagerung	of_maecht	of_lagerung	oh_maecht	oh_lagerung	m_maecht	torf_zersetzung	torf_holz	torf_moos	torf_kraut	torf_minerogen	organik_text	humusform	anthropogen	basenreichtum	karbonatgehalt	locker_stein	locker_kies_grob	locker_kies_fein	locker_feinerde	landnutzung	landnutzung_text	vegetation	vegetation_text	verdichtung	gefaehrdung	bodentyp_text	bodentyp_oe	versiegelungsgrad	vegetationsgrad	vegfrei	moosschicht	krautschicht	strauchschicht	baumschicht	fels	bloeckesteine	offenerboden	naturarchiv	kulturarchiv	drainage	bewaesserung	erosionsschutz	erosionsgrad	erosionsausmass	wurzeln10	wurzeln20	wurzeln30	wurzeln40	wurzeln50	durchgaengigkeit	matrixaustausch	zeigerarten	sonstige	bodentyp	erosion	koernigkeit	horizonte	organik	wurzel	Sx01_FBges	Sx02_TMges	Sx03_HMges	Sx04_nFKges	Sx04a_nFKwe	Sx05_FKges	Sx05a_FKwe	Sx06_LKges	Sx06a_LKwe	Sx07_LKoben	Sx08_WSVges	Sx09_WSVwe	Sx10_kfmin	Sx11_kfave	Sx12_We	Sx13_KAKges	Sx14_KAKWe	Sx15_MbWe	Leben_Tr	Leben_Fe	Leben_Org	Leben_Kult	Retent_ave	Retent_min	Retent_stark	GWneu	Naehrstoff	CO2_Senke	FiltPuff	Transform	FiltPuff_Org	FiltPuff_Nit	Puff_sauer	Arc_Nat	Arc_Kult	dateeval	template	templatename	
11			11.248333	46.488056					3	LW-schwach geneigt	90					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							carbonathaltige Braunerde																														478|479			1143.0	18768.0	16.0	149.0	149.0	276.0	276.0	59.0	59.0	59.0	208.0	208.0	16.0	20.0	90	14821.0	14821.0	14080.0	4	3	2	4	3	3	1	3	1	4	2	3	5	2	1	5	5	2017-12-16			
12			11.255555	46.4825					5	LW-schwach geneigt	80					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							Rendzina (RN)																														480|481			529.0	7623.0	11.0	87.0	87.0	142.0	142.0	35.0	35.0	11.0	122.0	122.0	16.0	55.0	80	7216.0	7216.0	7042.0	3	4	1	4	2	4	4	4	1	4	4	3	5	3	1	5	5	2017-12-16			
13			11.0	46.0					14	LW-hängig	120					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														482|483|484|485			2119.0	126216.0	15.0	128.0	128.0	493.0	493.0	25.0	25.0	25.0	128.0	128.0	1.0	1.0	120	70040.0	70040.0	69194.0	4	4	2	5	5	5	2	4	1	4	1	2	4	1	1	5	5	2017-12-16			
14			11.0	46.0					0	LW-eben	170					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														486|487|488|489|490			2261.0	22623.0	11.0	383.0	383.0	546.0	546.0	145.0	145.0	122.0	528.0	528.0	20.0	40.0	170	13693.0	13693.0	11873.0	5	2	2	3	2	2	1	2	1	4	1	3	5	1	2	5	5	2017-12-16			
15			11.0	46.0					0	LW-eben	170					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														491|492|493|494|495			2504.0	32406.0	15.0	324.0	324.0	511.0	511.0	118.0	118.0	60.0	442.0	442.0	16.0	19.0	170	21727.0	21727.0	19786.0	5	2	2	4	2	2	1	2	1	4	1	3	5	1	2	5	5	2017-12-16			
16			11.0	46.0					17	LW-hängig	130					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														496|497|498			1676.0	7572.0	15.0	287.0	287.0	416.0	416.0	92.0	92.0	92.0	287.0	287.0	11.0	21.0	130	11588.0	11588.0	11248.0	5	2	2	4	2	3	1	1	1	4	1	3	5	1	1	5	5	2017-12-16			
17			11.0	46.0					7	LW-leicht hängig	170					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														499|500|501|502|503			2406.0	38227.0	21.0	287.0	287.0	556.0	556.0	111.0	111.0	97.0	287.0	287.0	16.0	18.0	170	29160.0	29160.0	27702.0	5	2	1	4	2	2	1	2	1	3	1	2	5	1	1	5	5	2017-12-16			
18			11.0	46.0					0	LW-eben	200					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														504|505|506|507|508|509|510			2674.0	14491.0	10.0	451.0	451.0	644.0	644.0	168.0	168.0	144.0	619.0	619.0	11.0	27.0	200	12028.0	12028.0	10871.0	5	2	2	4	2	3	1	1	1	4	1	3	5	1	2	5	5	2017-12-16			
19			11.0	46.0					6	LW-leicht hängig	125					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														511|512|513|514			1754.0	12065.0	12.0	271.0	271.0	388.0	388.0	98.0	98.0	98.0	271.0	271.0	11.0	29.0	125	10533.0	10533.0	8604.0	5	2	2	4	2	3	1	1	1	4	1	3	5	1	3	5	5	2017-12-16			
20			11.0	46.0					0	LW-eben	110					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur																																					515|516|517|518			1572.0	12906.0	128.0	292.0	292.0	454.0	454.0	86.0	86.0	63.0	378.0	378.0	8.0	13.0	110	36488.0	36488.0	34947.0	5	2	2	4	3	3	1	1	1	1	1	1	5	1	1	5	5	2017-12-16			
21			11.0	46.0					5	LW-schwach geneigt	135					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														519|520|521|522			1829.0	29899.0	19.0	189.0	189.0	388.0	388.0	74.0	74.0	58.0	263.0	263.0	8.0	12.0	135	22522.0	22522.0	21396.0	4	3	1	4	3	3	1	1	1	4	1	2	5	1	1	5	5	2017-12-16			
22			11.0	46.0					0	LW-eben	115					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														523|524|525|526			1365.0	11295.0	17.0	228.0	228.0	334.0	334.0	121.0	121.0	77.0	349.0	349.0	20.0	78.0	115	9044.0	9044.0	8244.0	5	2	2	3	1	2	1	2	1	4	1	2	5	1	1	5	5	2017-12-16			
23			11.0	46.0					0	LW-eben	170					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														527|528|529|530|531|532			2041.0	16410.0	14.0	328.0	328.0	479.0	479.0	174.0	174.0	174.0	502.0	502.0	117.0	205.0	170	11408.0	11408.0	9857.0	5	2	2	3	1	1	1	5	1	4	1	3	5	1	2	5	5	2017-12-16			
24			11.0	46.0					2	LW-eben	145					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														533|534|535|536			1921.0	25837.0	27.0	328.0	328.0	497.0	497.0	130.0	130.0	130.0	458.0	458.0	20.0	48.0	145	20929.0	20929.0	20574.0	5	2	2	3	1	2	1	2	1	3	1	2	5	1	2	5	5	2017-12-16			
25			11.0	46.0					2	LW-eben	145					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														537|538|539|540|541			1895.0	20376.0	19.0	280.0	280.0	409.0	409.0	102.0	102.0	102.0	382.0	382.0	20.0	25.0	145	14279.0	14279.0	12523.0	5	2	2	4	2	2	1	2	1	4	1	2	5	1	2	5	5	2017-12-16			
26			11.0	46.0					5	LW-schwach geneigt	115					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonathaltiger Rigolboden																														542|543|544|545			1426.0	13646.0	14.0	230.0	230.0	337.0	337.0	87.0	87.0	44.0	317.0	317.0	20.0	27.0	115	10368.0	10368.0	9314.0	5	2	2	4	2	2	1	2	1	4	1	3	5	1	1	5	5	2017-12-16			
27			11.0	46.0					5	LW-schwach geneigt	160					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														546|547|548|549			2156.0	16897.0	17.0	310.0	310.0	456.0	456.0	113.0	113.0	113.0	423.0	423.0	20.0	23.0	160	13721.0	13721.0	11849.0	5	2	2	4	2	2	1	2	1	4	1	2	5	1	2	5	5	2017-12-16			
28			11.0	46.0					3	LW-schwach geneigt	125					Kollin-planar									Lockersedimente		10.0						mäßig trocken		0.0		0.0		0.0									Mull								Sonderkultur							karbonatfreier Rigolboden																														550|551|552|553|554			1705.0	21542.0	23.0	253.0	253.0	385.0	385.0	94.0	94.0	80.0	347.0	347.0	20.0	24.0	125	17409.0	17409.0	16383.0	5	2	2	4	2	2	1	2	1	3	1	2	5	1	2	5	5	2017-12-16			
